model_type.CNN_Leaky_ReLU

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.21432777643203735,0.34984259605407714,0.4176203727722168,0.46432592570781706,0.5042592465877533,0.5375944435596466,0.5671481490135193,0.5922296345233917,0.6147129595279693,0.6352203667163849,0.6532666623592377,0.6707851886749268,0.6870777785778046,0.7025573968887329,0.7185055494308472,0.7326000034809113,0.747564822435379,0.7619555532932282,0.7749685227870942,0.7884499907493592,0.8014351904392243,0.815370374917984,0.82850741147995,0.8412962973117828,0.8541999995708466,0.8665018558502198,0.8786018550395965,0.8903759181499481,0.9009277760982514,0.9117574036121369,0.9229222118854523,0.9321981549263001,0.941775918006897,0.9493722140789032,0.9579055547714234,0.9649277746677398,0.9715129673480988,0.9779425919055938,0.9829240679740906,0.9871463000774383,0.9907425880432129,0.9941962897777558,0.9964999973773956,0.9976796388626099,0.9985574066638947,0.9990740716457367,0.999351853132248,0.9995222389698029,0.9996500074863434,0.9997611105442047,0.9998333334922791,0.9998462855815887,0.9998907446861267,0.9999074161052703,0.9999370455741883,0.9999499976634979,0.999957412481308,0.9999648094177246,0.999955552816391,0.9999796330928803,0.9999833226203918,0.9999722182750702,0.9999814808368683,0.9999888837337494,0.9999925911426544,0.9999925911426544,0.9999870300292969,0.9999907374382019,0.9999944388866424,1.0,0.999994444847107,0.999994444847107,0.9999981462955475,1.0,1.0,0.999994444847107,0.9999981462955475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Validation accuracy,0.2858499974012375,0.38104999661445615,0.43768333196640014,0.45951666235923766,0.5002666711807251,0.5281833291053772,0.5573166728019714,0.5610666692256927,0.5861999988555908,0.5849166631698608,0.6178166687488555,0.6345499992370606,0.6360333323478699,0.6258833348751068,0.640800005197525,0.6540166735649109,0.6564500093460083,0.6552666604518891,0.6624499976634979,0.6565833270549775,0.6614999949932099,0.6729500114917755,0.6702333331108093,0.6582666575908661,0.6655333280563355,0.6701000034809113,0.6689500093460083,0.6699166595935822,0.6701166749000549,0.6730166614055634,0.6709000051021576,0.6737833321094513,0.667983329296112,0.6788166701793671,0.677866667509079,0.6747166693210602,0.675633329153061,0.679883337020874,0.6825166583061218,0.6736666738986969,0.6841000020503998,0.6807666659355164,0.6896499931812287,0.6906166672706604,0.6906500041484833,0.6923499941825867,0.6935499966144562,0.6941666722297668,0.6934666752815246,0.693450003862381,0.693966668844223,0.6949166595935822,0.6942999958992004,0.6932833313941955,0.6942499935626983,0.6936500072479248,0.6941833317279815,0.6935500025749206,0.6933499991893768,0.6950166761875153,0.6938166677951813,0.6938499987125397,0.693533331155777,0.694299989938736,0.6942166686058044,0.6939333319664002,0.6940833270549774,0.6946166634559632,0.6944000005722046,0.6939666569232941,0.6936333239078522,0.6940666615962983,0.6941499948501587,0.6944666683673859,0.693666672706604,0.6938833355903625,0.6940166652202606,0.6939833283424377,0.6936999976634979,0.6935666739940644,0.6938666701316833,0.6931666672229767,0.6939333319664002,0.6935833334922791,0.6935499966144562,0.6938499987125397,0.6937833249568939,0.6935166776180267,0.6933666586875915,0.69375,0.6938833355903625,0.6938833355903625,0.6935000002384186,0.6936500012874603,0.6935500025749206,0.6933833360671997,0.6933499932289123,0.6933499932289123,0.6931666612625123,0.6932500064373016
Traing loss,2.153898518308004,1.844355675255811,1.6532144257227581,1.518311173133497,1.4076549333890278,1.315832556053444,1.2374737704912822,1.1706314136699394,1.1108286323953558,1.0560828544599041,1.0043835913711123,0.9566898558281087,0.9109538926954622,0.8664833884468784,0.8231903780946025,0.7813966854695921,0.7408293466285423,0.699834649876312,0.6609629142964328,0.6217826649815947,0.5839424048635695,0.5450729002625854,0.5079443803950592,0.47057876194053233,0.43448229747613276,0.4002556776024678,0.3649802905996641,0.33178869668134936,0.30157393211435385,0.27164701004911346,0.24195595398788097,0.21530485394299032,0.18948106286404306,0.16715198279420534,0.1445355482077157,0.12476794377885483,0.10666311123911983,0.08899706290264925,0.07460446550981314,0.06155829239145474,0.04961756834627854,0.03835383889986961,0.02958566700370499,0.023445741008263497,0.01873589414928315,0.015011200278804256,0.012582802058363124,0.010794311773156127,0.00927635546181765,0.00819469471813904,0.007258165580865549,0.0065909166446050495,0.005970196099344779,0.005469624238519896,0.005016235645750055,0.004626128072067406,0.004323341603580587,0.004068058539630362,0.0038657901670852745,0.0035954994238533633,0.0033975809112311932,0.0032483373724665767,0.0030643158574329894,0.002909287961099848,0.0027759914315805805,0.0026492912463912813,0.002550613861782821,0.0024372856868361986,0.0023433843883789245,0.002241080983747142,0.002170290594520392,0.0020903083151965233,0.002012614196816598,0.001937263362437349,0.0018785210640963029,0.0018344431820748095,0.0017713371150264588,0.0017082108438308177,0.0016614085219998809,0.001610116143833363,0.0015670494713346233,0.0015226585441363836,0.0014840708841259282,0.0014420328237564751,0.00140684710674557,0.0013685881733747755,0.0013379462361361627,0.0013074809198759289,0.0012727394321364247,0.0012440422454469456,0.0012168157560319673,0.0011908635362068674,0.0011644258516650924,0.0011408521548284356,0.0011139475500081771,0.0010916684993206422,0.001068343242463932,0.0010495844188698187,0.0010272859464192554,0.001007430253752197
Validation loss,1.9922542407353716,1.7663135723431906,1.5897468134562174,1.5266585033416749,1.4210272212346395,1.3434483453750612,1.2665972391446432,1.2647196425437928,1.1884703761895499,1.198960469007492,1.10471201839447,1.066132067489624,1.0609507193565368,1.0917517343680063,1.052125946887334,1.0196252141634623,1.0192830691178638,1.0313189416090647,1.018879274781545,1.045804570031166,1.0417270306428272,1.0140034077008564,1.0389469091256458,1.1118952997048697,1.098637763150533,1.0958445493936537,1.1484785972038905,1.1491287389914195,1.1862094843864441,1.2033370470205944,1.2399039581775666,1.274822292550405,1.3368477866490682,1.3102685401360195,1.3661312951087952,1.4191668269634246,1.4565779444615046,1.4659171296278637,1.4966773213068643,1.5852345571994781,1.5480619782129923,1.6117407354195912,1.5667213755607605,1.598340471124649,1.6140028416077297,1.6365683418909707,1.6485000928997995,1.6719615508874255,1.6872642351786298,1.7168234439373016,1.7220067317167917,1.737465845266978,1.7521563852667807,1.7710098057905832,1.7793047454675037,1.7942977814753849,1.8050927397410077,1.8165671970049542,1.8300406627972918,1.839469772640864,1.8490167621612552,1.862618907229106,1.8673182964960735,1.8769666977087656,1.885064790813128,1.8937159607013068,1.9029012042482694,1.9104630295912426,1.9176159493764242,1.9239498182058334,1.9321194976011913,1.9381646529356638,1.946492006556193,1.9527350639025371,1.9597529798348745,1.9637057973861693,1.9706425557374954,1.9756391496976218,1.9812063892046605,1.986784575557709,1.9924866341431937,1.997526433086395,2.0025932592630387,2.007219639801979,2.012619407749176,2.0180550886154176,2.021588502430916,2.026527468967438,2.0307268921295805,2.0360651539325714,2.040657926829656,2.0438378129879635,2.0481809279282888,2.0527886020501454,2.0562913790067037,2.060849840625127,2.0645693284829454,2.0685838749090832,2.071785311206182,2.076067061853409


,P.Airplane,P.Automobile,P.Bid,P.Cat,P.Deer,P.Dog,P.Frog,P.Horse,P.Ship,P.Truck,Total
Airplane,71.17,1.93,5.13,2.42,2.53,1.15,1.47,1.42,8.53,4.25,6000.0
Automobile,2.17,77.48,1.0,1.17,0.6,0.62,1.75,0.68,4.0,10.53,6000.0
Bid,7.92,1.25,54.02,7.55,8.57,6.42,6.42,4.5,1.75,1.62,6000.0
Cat,2.58,1.25,6.78,49.95,5.78,15.05,8.83,4.97,1.92,2.88,6000.0
Deer,4.02,0.8,7.73,7.55,58.43,3.75,4.8,9.57,1.97,1.38,6000.0
Dog,1.42,0.73,6.55,18.5,5.15,53.28,4.47,7.23,1.05,1.62,6000.0
Frog,1.38,1.6,4.13,7.08,3.25,2.73,75.5,1.45,1.35,1.52,6000.0
Horse,1.27,0.42,3.0,4.77,6.5,5.1,1.32,75.27,0.43,1.93,6000.0
Ship,6.38,3.43,1.12,1.28,1.13,0.55,1.08,0.57,81.2,3.25,6000.0
Truck,3.25,9.02,1.25,2.22,0.97,0.98,1.37,1.98,3.4,75.57,6000.0
