model_type.CNN_Sigmoid

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.09980185106396675,0.09995555579662323,0.09974999949336052,0.0994314819574356,0.10068518519401551,0.10010370314121246,0.10007407367229462,0.10107962936162948,0.10049629658460617,0.10144259259104729,0.1022611103951931,0.10224629640579223,0.10371110960841179,0.10482222139835358,0.10793888941407204,0.11182222217321396,0.11925370395183563,0.13588333427906035,0.1589370384812355,0.18196296393871308,0.20369444340467452,0.2237222209572792,0.23715925812721253,0.24598148167133332,0.2534703701734543,0.2605037033557892,0.26667407155036926,0.2725962966680527,0.2773722231388092,0.2816759258508682,0.2869537055492401,0.2902055591344833,0.2950111091136932,0.2983166605234146,0.30264629125595094,0.306253707408905,0.30941481292247774,0.31239259243011475,0.316631481051445,0.3205092579126358,0.3231092631816864,0.32753518521785735,0.32958518266677855,0.3331111162900925,0.33596852123737336,0.3387370318174362,0.3426537036895752,0.3448333352804184,0.3483870357275009,0.3515277773141861,0.3544148147106171,0.3574999958276749,0.36144073903560636,0.3649574100971222,0.3678111046552658,0.370672219991684,0.3740925908088684,0.37666851580142974,0.38027037382125856,0.3835796296596527,0.38584073781967165,0.389083331823349,0.39219815135002134,0.3956388860940933,0.3981370359659195,0.4012518525123596,0.40426667034626007,0.4070944458246231,0.41017592549324033,0.41359259486198424,0.4161796301603317,0.42017963230609895,0.4227222204208374,0.4263444453477859,0.42953519225120546,0.43224629759788513,0.4361000031232834,0.4389166682958603,0.44235370457172396,0.4469648152589798,0.44994259178638457,0.4544685214757919,0.45759073495864866,0.4614462941884995,0.46548888385295867,0.4686833322048187,0.4731518477201462,0.4770981460809708,0.4807814836502075,0.48489074110984803,0.4888981461524963,0.49279259145259857,0.4956833362579346,0.499425932765007,0.5023759365081787,0.5051148056983947,0.5088870465755463,0.5117222189903259,0.5145574092864991,0.5177425920963288
Validation accuracy,0.10000000149011612,0.1016000010073185,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.10000000149011612,0.1014166682958603,0.10415000095963478,0.10255000069737434,0.10010000169277192,0.10000000149011612,0.10005000159144402,0.11368333399295807,0.10138333365321159,0.11134999990463257,0.12248333394527436,0.12558333203196526,0.1429833337664604,0.16921666711568834,0.1897333323955536,0.21363333165645598,0.2203333333134651,0.24548333138227463,0.24380000084638595,0.2526500001549721,0.26658333241939547,0.2656166672706604,0.2724000006914139,0.27796666920185087,0.28313333094120025,0.2867499977350235,0.2911833345890045,0.2904500007629395,0.2977000027894974,0.3007999986410141,0.3051666647195816,0.30555000305175783,0.3095833361148834,0.3122166633605957,0.32018333971500396,0.3220833271741867,0.32413333654403687,0.3290000021457672,0.330416664481163,0.3349000006914139,0.33788333237171175,0.33709999918937683,0.341333332657814,0.34351666569709777,0.3488833338022232,0.3490666687488556,0.35096666514873504,0.35585000216960905,0.3601999968290329,0.36611666679382326,0.3652999997138977,0.3671500027179718,0.3713166654109955,0.37241666615009306,0.37668333351612093,0.3781666696071625,0.3814000070095062,0.38336667120456697,0.386599999666214,0.39305000603199003,0.38743333220481874,0.3952499985694885,0.39319999516010284,0.3981333315372467,0.4032333314418793,0.4074333369731903,0.4062333345413208,0.4124500036239624,0.4121333330869675,0.4123333334922791,0.4190166682004929,0.4235166639089584,0.42313332855701447,0.42548333406448363,0.4310833364725113,0.43863333761692047,0.4372500032186508,0.4329666644334793,0.44075000286102295,0.4522499978542328,0.45506666600704193,0.45611666738986967,0.45599999725818635,0.46459999680519104,0.46404999792575835,0.46733333766460416,0.47349999845027924,0.47425000071525575,0.4779833346605301,0.4765333324670792,0.47876666486263275,0.4732833355665207,0.4826333403587341,0.49569999873638154,0.49395000040531156
Traing loss,2.3324788441481417,2.32401600307182,2.3192016011909202,2.3160400315673266,2.3135128391901656,2.3115489246015195,2.309407937297115,2.3076452378378973,2.306652213873687,2.3054062061309812,2.3048020753012763,2.3040512435277303,2.303378071777909,2.3025832004264553,2.301658576089365,2.299932416117633,2.2961605079156384,2.2842294607091835,2.244036110489457,2.1907373520250673,2.1584619411892363,2.123675117241895,2.094993550682068,2.0755980905709444,2.0600788769898593,2.046541181822176,2.0339830686922427,2.022731864558326,2.0123709455808005,2.0018156889562255,1.9914237992851824,1.9814132303131953,1.9715133401128981,1.9615998648749458,1.9519472460146303,1.9423944443667378,1.9328927255630493,1.9234782257221366,1.9135017505433827,1.9039241387579178,1.8943589966915273,1.8850787468910215,1.8762126639754684,1.8674300412213358,1.8590398522800868,1.8506323592362581,1.8421453327814739,1.8338007137298582,1.824988123561718,1.8161088822823985,1.807114435036977,1.7979358421749538,1.7888960202075819,1.779265607155694,1.7700145598694133,1.7611476298967996,1.7522334254052905,1.743293366375676,1.734214309445134,1.7255601181842664,1.717200465128157,1.7088542339148347,1.7003373378259166,1.6923328067602934,1.6839481479291565,1.6762077466011047,1.6679110758816755,1.6594389989570335,1.6516910901493496,1.6434403740776908,1.6350352559654802,1.6264965074821756,1.6188491663473623,1.6100809976930972,1.601128776606807,1.592599579888803,1.5834051557328965,1.5742682197712086,1.5654214411452965,1.5551485269687795,1.54598250847216,1.5361948716958362,1.5259139566633437,1.5154299737753694,1.505656391592379,1.4955545003573099,1.4851314138341833,1.4746836518817479,1.4640466593918977,1.4537402918056206,1.443454018324393,1.4342507856527962,1.4251166522979737,1.4153494782624423,1.4063153900146486,1.398035809520439,1.3894579839406191,1.380788770449603,1.3720099449934782,1.3638401966730753
Validation loss,2.358341775449117,2.3206136633555094,2.3217094407399492,2.3181847688039143,2.315420940717061,2.311033108965556,2.3069548787434897,2.3096606955846157,2.306803520266215,2.3045684855143227,2.303942703119914,2.3037611868540444,2.3029649252573647,2.3025312032063803,2.3006220980962118,2.298613806915283,2.2927748967488606,2.271792232577006,2.2133335424423217,2.17343429145813,2.1426234972635907,2.1155594466527305,2.083220548820495,2.075642709159851,2.0621244440078734,2.0406158073743184,2.037406270090739,2.023160472456614,2.0109333662668867,2.001694742107391,1.9911272436141967,1.9816411732355754,1.97468126449585,1.9640403615315756,1.9548839192390441,1.9447222613334656,1.936303728167216,1.9296703686714174,1.9179685865402223,1.9027958007176717,1.900243755976359,1.8883548791567484,1.8768571026802061,1.872517249965668,1.8657774383544923,1.8521763206481936,1.8507580282211304,1.838531112798055,1.8329237263361615,1.8218637238502502,1.8194199073155723,1.8106647610664364,1.7999209751764933,1.7868961007754005,1.7768373231887817,1.769955408445994,1.763077064959208,1.7567294692357378,1.7531768112182617,1.7407103187878927,1.734855294195811,1.7343784329096477,1.7242625135739644,1.7155693078358965,1.6989879663467407,1.7136148801485696,1.6925836067835487,1.698468022696177,1.6819322458267212,1.6656319243113202,1.664336949412028,1.6572479413668315,1.646216927464803,1.6531698586781822,1.6411853655815125,1.627220283571879,1.6203283984184265,1.6155534893035888,1.614719137986501,1.5998082253138226,1.5792535067240396,1.5739352233886719,1.582236297829946,1.5700893372535705,1.5391534797032675,1.5321025533676147,1.5272300175031026,1.52887172926267,1.5032988321622214,1.5156646754423777,1.5100125936190287,1.488167369333903,1.4845803343454995,1.4715973201433818,1.4723623241424562,1.4687310789426165,1.4993933185895283,1.4500534585634868,1.421681134478251,1.4258313156445823


,P.Airplane,P.Automobile,P.Bid,P.Cat,P.Deer,P.Dog,P.Frog,P.Horse,P.Ship,P.Truck,Total
Airplane,52.63,3.33,9.7,1.63,4.57,1.38,3.33,3.78,13.8,5.83,6000.0
Automobile,2.38,61.63,0.93,1.38,1.38,1.0,4.52,2.37,7.23,17.17,6000.0
Bid,8.03,1.97,40.35,7.15,10.65,8.73,11.12,7.13,2.13,2.73,6000.0
Cat,2.43,2.43,11.82,28.72,6.6,17.97,15.77,6.62,2.05,5.6,6000.0
Deer,7.38,2.07,17.9,4.9,36.13,5.18,9.93,10.78,3.32,2.4,6000.0
Dog,1.65,1.6,13.32,16.3,6.15,37.33,9.95,9.15,1.37,3.18,6000.0
Frog,1.93,3.1,7.7,7.35,5.17,4.93,60.92,3.1,1.63,4.17,6000.0
Horse,2.62,1.25,6.37,4.48,8.07,7.93,3.75,60.15,0.8,4.58,6000.0
Ship,9.92,7.97,3.2,1.28,2.78,0.92,2.65,1.25,62.65,7.38,6000.0
Truck,3.88,16.82,1.83,2.55,1.03,1.83,3.98,3.77,6.85,57.45,6000.0
