model_type.CNN_TanH

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.27591297328472136,0.39502777755260465,0.4451148182153702,0.4932314842939377,0.5303055644035339,0.5593185245990753,0.5826537072658539,0.6029963016510009,0.621872216463089,0.6395740687847138,0.655864804983139,0.6723203659057617,0.6876888930797577,0.7038074135780334,0.7207129597663879,0.7371166706085205,0.7538203716278076,0.7712925851345063,0.788659256696701,0.806672215461731,0.8257296264171601,0.8443018436431885,0.8632925927639008,0.8824722230434418,0.9010074019432068,0.9182018458843231,0.9348981440067291,0.9495166599750519,0.9618814826011658,0.9724777698516845,0.9800240755081177,0.986338883638382,0.9904259324073792,0.9934870362281799,0.9954462885856629,0.9968129634857178,0.9976981401443481,0.9984722197055816,0.9988240718841552,0.9991407454013824,0.9993926048278808,0.999485182762146,0.9996370375156403,0.9996944427490234,0.9997796297073365,0.9998222112655639,0.9998833358287811,0.9998962938785553,0.9999222218990326,0.9999166786670685,0.999955552816391,0.9999481558799743,0.9999703645706177,0.9999629557132721,0.9999759197235107,0.9999888837337494,0.9999907374382019,0.9999888837337494,0.9999925851821899,0.9999925911426544,0.9999888837337494,0.999996292591095,1.0,1.0,1.0,1.0,0.9999981462955475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Validation accuracy,0.35446666479110717,0.40956665873527526,0.46248333156108856,0.4868333339691162,0.5243166744709015,0.5483166694641113,0.5678666651248931,0.5653499960899353,0.5905999898910522,0.5971666693687439,0.6188499987125397,0.6335000097751617,0.6333999931812286,0.6324833393096924,0.649233341217041,0.6539499998092652,0.652950006723404,0.6576499938964844,0.6596833348274231,0.6606833279132843,0.6677333354949951,0.669950008392334,0.6704166769981384,0.6673500120639801,0.667383337020874,0.6765500009059906,0.6749666631221771,0.678083336353302,0.6746833384037018,0.6760666728019714,0.6777166664600373,0.6740166783332825,0.6792999923229217,0.6809000074863434,0.6805999994277954,0.6817499995231628,0.682783329486847,0.683600002527237,0.6819833278656006,0.6821999967098236,0.6832833290100098,0.6835333347320557,0.6834666728973389,0.684333336353302,0.6845833241939545,0.684416663646698,0.6844666600227356,0.6848833322525024,0.6842166602611541,0.6854666590690612,0.6848166644573211,0.6859333336353302,0.6861000001430512,0.6851333379745483,0.6856999933719635,0.6858666777610779,0.6866000056266784,0.6861000061035156,0.6861166715621948,0.6855000019073486,0.6863000094890594,0.6856166660785675,0.686083334684372,0.6864333271980285,0.6862333238124847,0.6859166741371154,0.6861499905586242,0.6871500015258789,0.6864833176136017,0.6863333344459533,0.6861833333969116,0.6858500003814697,0.6860000014305114,0.6866500020027161,0.6867666721343995,0.686599999666214,0.6865333318710327,0.6866500020027161,0.6865833342075348,0.6866833388805389,0.6866999983787536,0.6868500053882599,0.6865333318710327,0.6870166778564453,0.6866500020027161,0.6868333339691162,0.686816668510437,0.6875833392143249,0.6870499968528747,0.6870666682720185,0.6874500036239624,0.6869333326816559,0.6867499947547913,0.6870999991893768,0.6871999979019165,0.6872666656970978,0.6871833324432373,0.6869333386421204,0.686983335018158,0.6874333381652832
Traing loss,2.0333083922280206,1.737358311402356,1.5903339665271619,1.4542513215241608,1.3472281030354676,1.2661916871706647,1.1979245494383353,1.14027336418717,1.0885664443386924,1.039680963051761,0.9924126594843689,0.9470704651885562,0.9019684664302403,0.8571663756282242,0.8118597908320251,0.7663397216267056,0.7206890861052054,0.6738871373706393,0.6273331139175979,0.5793784047497643,0.5310669462009712,0.48300030866199073,0.43511698810568566,0.3878088256014718,0.34219234250077496,0.2993713185129342,0.2585281892789735,0.22112782269186443,0.1884799466603332,0.1586583703864504,0.13393790066264294,0.11244830023922303,0.09496895587808557,0.0805752264317539,0.06877737453138386,0.059272078102219995,0.051582405997371225,0.045127898543576406,0.03992233041182713,0.03566179017369394,0.03204080092368855,0.029087347929731566,0.026472854983365095,0.024327077620228132,0.022355110129024143,0.020726094319616202,0.01927267586293596,0.01801327816595634,0.016884588232829616,0.01588500182595518,0.014964013856470035,0.01416423624991267,0.013419843613853056,0.012753810565546152,0.012135978311162303,0.011573286357963525,0.011060349870624916,0.010588640279571217,0.010155514821230813,0.009735859276223238,0.009370822200510238,0.00900906295514217,0.00868968900707033,0.008385429882078809,0.008086287298053505,0.007817467814890875,0.007564058335415192,0.00732860946847057,0.007103596696906067,0.006891253974771611,0.006691743231288813,0.006494803181939103,0.006315581847796285,0.006140936994594004,0.005975158706279816,0.005824462066321737,0.005676240620389581,0.005534430193411255,0.0053994930925192666,0.005267611859159338,0.00514427074343656,0.005029035664998271,0.0049157915293066585,0.004804381327193093,0.0047009048555598214,0.004599862968528436,0.004505170253077868,0.004412231757250373,0.004322511118971225,0.004236320381397726,0.004153911542961444,0.004074422554047433,0.0039969325147569176,0.003920918279272262,0.003849211283000531,0.0037796063443542353,0.003712729254475346,0.0036494196448544113,0.00358502975223517,0.0035241721041776516
Validation loss,1.8535462581316628,1.697141814359029,1.5330231481234233,1.457555379486084,1.356383191394806,1.290855058542887,1.2332111671129862,1.244472507015864,1.1785359862327573,1.160201032845179,1.0966364177862802,1.0627454179922737,1.0599184411207836,1.0632624274253846,1.0205725488980613,1.0087945521593091,1.0162845403194427,1.0076541242599486,1.006417818045616,1.019893052482605,1.005764975897471,1.005579364879926,1.013171371571223,1.0364520303090412,1.0480872724056245,1.0335565256436665,1.0503246992985409,1.0558467960675557,1.0778661415894828,1.0875248700936637,1.101103165356318,1.137362536787987,1.1183375016848245,1.1321515223344167,1.1496925907055535,1.1573016136646268,1.1697490898688636,1.1780124202728273,1.1898661102135974,1.201645126628876,1.211821009850502,1.2187111756324767,1.2273787302494052,1.2349039790232976,1.2430418348789218,1.2514994738817218,1.259042365217209,1.2654821127891542,1.2734777915795643,1.2796787439902624,1.285501412963867,1.2909019157568615,1.2974098788261412,1.3071004515727362,1.308817757598559,1.312962199362119,1.3176271263440449,1.3234279073953628,1.328612595176697,1.3326422969301543,1.336898070462545,1.3426116589148838,1.3464274764537811,1.3502129491567612,1.3541197067499162,1.358608126235008,1.3625288067579269,1.365480669864019,1.3690315001567204,1.3718888117551804,1.3761210370143255,1.3796537177244823,1.3833379264195762,1.3867746803919476,1.3897048335234323,1.393230274915695,1.3961820468505224,1.3989243239164353,1.4013765353043874,1.4038655677159626,1.4070804875612257,1.4095251504659654,1.412456388982137,1.41464268386364,1.4175048537015917,1.420337520758311,1.4228450631141663,1.4255554234663645,1.4275222339908284,1.4302416426499684,1.433029012052218,1.4345563232660294,1.436810386578242,1.439721239121755,1.4414685808817544,1.443863866154353,1.4461096299330394,1.448612789909045,1.4493971745332082,1.4523378010392187


,P Airplane,P Automobile,P Bird,P Cat,P Deer,P Dog,P Frog,P Horse,P Ship,P Truck,Total
Airplane,71.08,2.08,5.33,2.02,3.03,1.08,1.4,1.23,8.4,4.33,6000.0
Automobile,2.08,77.98,1.02,1.05,0.75,0.77,1.42,0.77,3.48,10.68,6000.0
Bird,7.08,1.08,53.65,6.67,9.9,7.18,6.47,4.72,1.72,1.53,6000.0
Cat,2.52,1.22,6.87,46.83,6.92,17.98,8.63,4.75,2.02,2.27,6000.0
Deer,3.17,0.75,8.23,5.95,61.1,4.72,4.93,8.35,1.82,0.98,6000.0
Dog,1.23,0.73,6.25,16.55,6.78,55.57,4.33,6.55,0.83,1.17,6000.0
Frog,1.27,1.2,4.9,6.88,4.08,3.57,74.67,1.1,1.27,1.07,6000.0
Horse,0.9,0.48,2.98,4.28,6.83,5.47,0.95,75.67,0.48,1.95,6000.0
Ship,5.9,3.7,1.27,1.23,1.27,0.55,1.02,0.67,81.23,3.17,6000.0
Truck,3.22,10.37,1.23,1.88,1.32,1.32,1.17,2.23,4.02,73.25,6000.0
