model_type.CNN_base

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.20647592544555665,0.3255814790725708,0.4014055520296097,0.4494499981403351,0.4866425901651382,0.5218425929546356,0.552907407283783,0.5808666765689849,0.607024085521698,0.6317851722240448,0.6545592546463013,0.6764814734458924,0.6990463018417359,0.7197481453418731,0.7418185234069824,0.7629555642604828,0.7836203753948212,0.8061833381652832,0.8264074146747589,0.8483074069023132,0.8688296258449555,0.8900740683078766,0.9084962964057922,0.9263629794120789,0.9425037026405334,0.9561092555522919,0.9688462972640991,0.9786648094654083,0.9866518557071686,0.9923611164093018,0.9958944499492646,0.9978740811347961,0.9987166702747345,0.9991999983787536,0.9994333326816559,0.9996592700481415,0.9997407376766205,0.9998166561126709,0.9998759269714356,0.999881488084793,0.9999166607856751,0.9999240815639496,0.9999685168266297,0.999951857328415,0.9999703705310822,0.9999796271324157,0.9999888777732849,0.999996292591095,0.9999870300292969,0.9999888896942138,0.9999907374382019,1.0,0.9999981462955475,1.0,0.999996292591095,0.9999981462955475,1.0,1.0,0.9999981462955475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999962985515595,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Validation accuracy,0.26096666902303695,0.3579666674137115,0.42273333072662356,0.4413833349943161,0.48103333413600924,0.5056000024080276,0.5401666641235352,0.5399999916553497,0.5687000095844269,0.5709000051021575,0.5972833335399628,0.6127333343029022,0.6177500069141388,0.606199997663498,0.623416668176651,0.6384333312511444,0.6367500007152558,0.6310500025749206,0.644599997997284,0.6404500007629395,0.6411166667938233,0.6505499958992005,0.6421833276748657,0.6434666693210602,0.6436333358287811,0.6502333283424377,0.6528833329677581,0.6478333294391632,0.6544666647911072,0.6534500002861023,0.6544999957084656,0.6601166725158691,0.6663000047206878,0.6643166601657867,0.6655166685581207,0.6664666652679443,0.6659666657447815,0.6667666614055634,0.6661666691303253,0.6661499977111817,0.6661499977111817,0.6667333304882049,0.6664999961853028,0.6670166730880738,0.666899996995926,0.6657833397388458,0.6664999961853028,0.6663833320140838,0.6666666626930237,0.6659666657447815,0.6665166616439819,0.6664999961853028,0.6663666665554047,0.6660333454608918,0.666016685962677,0.6660499989986419,0.6661500036716461,0.666266667842865,0.6659666657447815,0.6661500036716461,0.6655166625976563,0.6662166655063629,0.6664000034332276,0.6659999966621399,0.6663000106811523,0.6662833333015442,0.666100001335144,0.6660333454608918,0.6666333377361298,0.6658833265304566,0.6659333348274231,0.6666500031948089,0.6654500007629395,0.6659000098705292,0.6654833257198334,0.6662166655063629,0.6658166646957397,0.6654833436012269,0.6658666610717774,0.6656333327293396,0.6658333361148834,0.6658666729927063,0.6657500088214874,0.6656833350658417,0.6656500160694122,0.6654166638851166,0.6654000043869018,0.6656333386898041,0.6657166600227356,0.6655166625976563,0.6656833410263061,0.665366667509079,0.6656333267688751,0.6657166600227356,0.6656833350658417,0.6655666708946228,0.6653833389282227,0.6655166625976563,0.6656333386898041,0.6656666696071625
Traing loss,2.1627047907193497,1.8974972555655019,1.6920242539158572,1.5552658527904089,1.449566069398103,1.356182788481536,1.2711600735063906,1.1949703586207496,1.1250394959061232,1.0583564008359556,0.9948792831650486,0.9333181190181662,0.8733348868387717,0.8133577394520796,0.7533020894447962,0.6939247403656994,0.6343552954241083,0.5732734633030715,0.5150505764846447,0.4554922129754667,0.39878393112950855,0.34211394310350773,0.2897867261323664,0.24080152559964746,0.19618420663520142,0.1574594931666498,0.12215577685363868,0.09320319250168073,0.06883825466478312,0.04919727227315306,0.03465924584083259,0.024445758009895135,0.01848095498968054,0.014299074242119162,0.011523550112366124,0.009446329727113522,0.00806973709328514,0.006959050143441116,0.006041680687217525,0.005408735542465002,0.004853459346404782,0.004472185255318052,0.004014645506638206,0.003717911778104112,0.0034161706290897673,0.0031891907552326166,0.002961906303975869,0.002771168044680315,0.0026312580604658086,0.002486689099321073,0.0023564679098746705,0.0022175772368222373,0.0021062926589511337,0.00200848111792778,0.0019214036327907472,0.0018370131539249862,0.0017578131307554603,0.0016880709845633075,0.0016299509977973584,0.001561195101094199,0.0015015399360218673,0.0014495821193800547,0.0013975550838133872,0.0013509353551418623,0.0013069530044130429,0.0012636480106946288,0.001228001817768543,0.0011895576369069104,0.0011550191936798876,0.001121761566614387,0.0010912515183126004,0.0010593959644462708,0.0010315328272098366,0.0010029244345229082,0.000978753073141841,0.0009636388702637137,0.0009331730376515123,0.0009085685013853773,0.0008884788919680028,0.0008669906809628527,0.0008465951462741939,0.0008292865160421505,0.0008123086542020447,0.0007935298333065239,0.0007775336953207712,0.0007601137388256138,0.0007449699531576631,0.0007301373661521615,0.0007159351152747318,0.0007020677838478823,0.0006888493891990812,0.0006768424623063765,0.000663905612889384,0.0006524521725243648,0.000639804261919387,0.0006289390283166776,0.0006178742910364505,0.0006078243220597935,0.0005971190069414055,0.0005870652847888844
Validation loss,2.039740051142375,1.8127735171953834,1.6247658749898275,1.582872746022542,1.4715465547561646,1.3960200135548908,1.3046875494798027,1.310122515042623,1.2352830278873441,1.230864370648066,1.1513300121307375,1.1220189828713734,1.1067649015108745,1.1613694762865703,1.1132903756618497,1.0761302531878152,1.1109528735876084,1.1515119919935861,1.1304319679816561,1.1760182403882344,1.193784796667099,1.2021134246031444,1.3007140366713206,1.3413212194442747,1.388855130561193,1.4068293262163798,1.4586026898701985,1.5628941379706065,1.5696704464435576,1.6362951441446942,1.678715314912796,1.7098485448201497,1.7058682012399036,1.7450623494625095,1.7760881658236187,1.7995653056780498,1.8288242354710895,1.8471340359210966,1.869192335875829,1.8885328443527225,1.9088237210591632,1.9235010691960652,1.9401800373395282,1.9524333464145662,1.9682031462510423,1.9809406081358591,1.9939039947191877,2.005848347584407,2.0158588489055633,2.028119661903381,2.0372852294127144,2.0483749048391977,2.0578355027278263,2.068004058758418,2.075209625101089,2.082733938487371,2.0901112318515778,2.098081316788991,2.1076182210683823,2.113423863768578,2.1217208384354906,2.12770223642985,2.1348289741516115,2.1409892742792764,2.1485443860530853,2.152844632927577,2.1600868540604905,2.165935219923655,2.1704941394964856,2.175862414487203,2.1813426849524182,2.1873689807256063,2.191880929406484,2.1970937790552774,2.203472227017085,2.206521858739853,2.2108841763814295,2.2159875839630763,2.2209222617308297,2.2242075596292814,2.2281242577393847,2.23337312725385,2.2368837436993916,2.240963672447205,2.2454251662095386,2.2492372490882873,2.252916043170293,2.2560196529865264,2.2598706602732337,2.2638868207216265,2.268054626830419,2.2704881960074106,2.274454861855507,2.277759274864197,2.280711052862803,2.2842129736264547,2.287819465827942,2.2908722242196404,2.2937211858113606,2.2972218259970343


,P Airplane,P Automobile,P Bird,P Cat,P Deer,P Dog,P Frog,P Horse,P Ship,P Truck,Total
Airplane,71.93,1.78,5.52,1.72,2.65,1.17,1.25,1.33,9.03,3.62,6000.0
Automobile,2.63,75.6,1.15,1.42,0.8,0.68,1.67,0.58,5.7,9.77,6000.0
Bird,8.57,1.32,49.98,7.73,10.65,7.38,6.83,3.63,2.18,1.72,6000.0
Cat,2.87,1.6,8.28,44.25,7.72,16.8,9.02,4.28,2.32,2.87,6000.0
Deer,4.87,0.82,9.13,6.63,57.38,4.77,5.28,7.4,2.45,1.27,6000.0
Dog,1.88,0.95,7.08,17.68,6.35,51.78,5.08,6.3,1.27,1.62,6000.0
Frog,1.58,1.97,4.57,6.38,4.72,3.53,73.05,0.78,1.88,1.53,6000.0
Horse,2.05,0.62,3.8,4.65,7.92,6.55,1.32,70.2,0.53,2.37,6000.0
Ship,7.17,3.78,1.27,1.1,1.17,0.53,0.73,0.33,80.65,3.27,6000.0
Truck,4.25,11.47,1.28,2.45,1.05,1.52,1.7,1.53,5.32,69.43,6000.0
