model_type.CNN_deep

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.17085185199975966,0.3029592573642731,0.3836574047803879,0.43945740461349486,0.48267592787742614,0.5208185136318206,0.5557148218154907,0.5863814771175384,0.6154851734638214,0.6434185206890106,0.6684666693210601,0.6914925873279572,0.7137611031532287,0.7353333234786987,0.7573129594326019,0.7771981537342072,0.7984481513500213,0.8203666567802429,0.8413833320140839,0.8613370358943939,0.8823351800441742,0.9018185079097748,0.9200870454311371,0.9362333357334137,0.9505666673183442,0.9631370306015015,0.9739777743816376,0.9824666798114776,0.9888888955116272,0.9946407437324524,0.9982703745365142,0.9992870330810547,0.99978888630867,0.9998814761638641,0.9999666631221771,0.9999648094177246,0.9999870419502258,1.0,0.9999888896942138,0.9999907433986663,0.9999925911426544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Validation accuracy,0.22570000141859053,0.3410166710615158,0.41093333065509796,0.4425000011920929,0.48153333067893983,0.508433324098587,0.5435166597366333,0.5544333398342133,0.5785999953746795,0.584416663646698,0.6049500048160553,0.6255833268165588,0.6228666663169861,0.6172500014305115,0.6412000119686126,0.6482000052928925,0.654583340883255,0.6508500039577484,0.6609333276748657,0.6499666750431061,0.6572499990463256,0.6615000009536743,0.6638833284378052,0.6588499903678894,0.6596833348274231,0.6645666658878326,0.6620000004768372,0.6651333332061767,0.6706833302974701,0.6750166594982148,0.6806666672229766,0.6837666690349579,0.6857499957084656,0.6860333383083344,0.6836999952793121,0.686383330821991,0.6861999928951263,0.6866666674613953,0.6868333399295807,0.6861499905586242,0.6861333310604095,0.6865166664123535,0.686300003528595,0.6865333437919616,0.6865833282470704,0.6866833329200744,0.6864499986171723,0.685999995470047,0.6862666666507721,0.6859166622161865,0.6863666713237763,0.686083334684372,0.6859666705131531,0.6860166609287262,0.6861166656017303,0.6859499990940094,0.6858333349227905,0.6861000001430512,0.6857333242893219,0.6857666611671448,0.6859333395957947,0.6856166660785675,0.6851333320140839,0.6854499936103821,0.685699999332428,0.6853499948978424,0.6857500016689301,0.6858666598796844,0.6854833245277405,0.6852166593074799,0.6855500042438507,0.6850499987602234,0.6853000044822692,0.685616672039032,0.6854166686534882,0.6855500042438507,0.6854666650295258,0.6857166767120362,0.6852999925613403,0.6858666658401489,0.6854833245277405,0.6853666722774505,0.6854166686534882,0.6854666650295258,0.6855333328247071,0.6854166746139526,0.6852166712284088,0.6856333255767822,0.6852999925613403,0.6853333294391633,0.6852999925613403,0.6854166507720947,0.6853499948978424,0.6853333353996277,0.6853999853134155,0.685616672039032,0.6854833245277405,0.6852166652679443,0.6851833283901214,0.6852833271026612
Traing loss,2.23076154311498,1.9416156542283516,1.7305939149150142,1.5785814552836948,1.457850438146238,1.3548750385337405,1.2614330405835754,1.1748489343837458,1.0956805825586673,1.0212512867874568,0.9524813029006676,0.8870039445691639,0.8246522212364056,0.763157879389657,0.7021721782490059,0.6432515177717916,0.5825309576299456,0.5224755150949514,0.462828333542965,0.40541716507010983,0.34739911265505685,0.2929818072122557,0.241653409100793,0.19615693345861854,0.1567520221043516,0.12187561602333079,0.09161010006020467,0.06712830802796892,0.04779734136283535,0.02920335769629175,0.01486302731709072,0.008874512588743258,0.005367014170087943,0.003955071691587498,0.003008846961698254,0.0025775388346519325,0.0022107562039883942,0.0019204565730834102,0.0017461417630021633,0.0015897861976348967,0.0014643467241648102,0.0013379997421883874,0.0012358771646399638,0.0011557968665112707,0.0010852384204100992,0.001022874204570393,0.0009680201968260075,0.0009179940089044438,0.0008713783899542048,0.0008310453267711973,0.0007947458220818252,0.0007586046826743296,0.0007266940625658242,0.0006977446819833454,0.000671145209505792,0.0006459036557409153,0.0006227584519386895,0.0006006030207047137,0.0005806312672778774,0.0005608838895792832,0.000542898459687691,0.0005262213351146783,0.0005100299230893144,0.0004950179965110255,0.0004806270743752571,0.00046703932506066777,0.0004546030767124008,0.0004424396453009211,0.00043081655443400244,0.000419732888662515,0.0004093163017340918,0.00039905429147054554,0.00038970138043126397,0.00038021571313761845,0.0003716088852750276,0.00036317607495444396,0.00035539963733150485,0.0003475730171123157,0.0003401687113443148,0.0003329693036980677,0.0003263064838317439,0.0003196810865150635,0.00031345734749942225,0.0003071725499086488,0.0003013357056808201,0.000295715873532161,0.00029011922472413126,0.00028491939946748233,0.0002797804085395506,0.00027483019296153173,0.00027011079500090864,0.0002654141515378056,0.00026101885552311114,0.00025666323595085284,0.0002523106536386034,0.00024829213874801536,0.00024435908228818634,0.00024054070253429625,0.00023672878258641704,0.00023308730774712145
Validation loss,2.109484476502736,1.8459225700378419,1.6563423631350198,1.5719575783729554,1.4692602987607322,1.3863021115461984,1.2937598182519277,1.2671492496172587,1.202000958474477,1.1895698929309844,1.1338902701218923,1.0824379282633463,1.0957057306130729,1.1364200903892514,1.0737999422709146,1.056947130393982,1.0621067676862082,1.1129851167360942,1.1028425036748248,1.188338855489095,1.2030921804745993,1.2292281133492788,1.2980928753693899,1.3985151751438778,1.4514989570299786,1.5210608306884765,1.6096144451300305,1.6651758626619972,1.7108787604808806,1.7443724612553915,1.8069251552899679,1.822920530796051,1.8699574702739714,1.9072536709109944,1.963660117387772,1.967000964840253,1.9915946749766669,2.0119277207533512,2.028811935917536,2.0442123674233756,2.0605523013134794,2.0751608978609246,2.0899134847958885,2.100279790019989,2.1126221745491027,2.122705743900935,2.1337710529565816,2.143652100245158,2.1529906422217686,2.1623197282473248,2.1708228927453357,2.1797821226914724,2.1875298011461894,2.194880615778764,2.201715103069941,2.2086926270008087,2.215481454753876,2.22193666176796,2.2291641656478247,2.2347377302487694,2.240979777598381,2.2461357045968375,2.251656974116961,2.257607081596057,2.262761696354548,2.2678153247356416,2.272075649929046,2.278006683572133,2.2826318305889766,2.2870617714246118,2.2913113045374556,2.296060405246417,2.300330379629135,2.3051047062555954,2.3090035625775656,2.31282548195521,2.3169554872989657,2.3214077137629188,2.325161431042354,2.3284571390628814,2.3323018170197805,2.3358539938926697,2.3394739524443944,2.342895916636785,2.3463736483017605,2.3498986571272216,2.3527885927359264,2.3560111305395766,2.3593210218747456,2.362595475880305,2.365403292957942,2.368048688220978,2.3714694779078167,2.3744702688693993,2.3775663543780645,2.380968312827746,2.382992202504476,2.3858603206713993,2.388647929108143,2.391246364212036


,P Airplane,P Automobile,P Bird,P Cat,P Deer,P Dog,P Frog,P Horse,P Ship,P Truck,Total
Airplane,69.95,1.78,5.38,1.97,4.4,1.35,0.88,1.1,9.13,4.05,6000.0
Automobile,1.85,77.27,0.82,1.12,0.7,0.8,1.22,0.65,5.05,10.53,6000.0
Bird,8.0,1.23,51.43,6.98,12.23,8.25,4.2,4.08,2.25,1.33,6000.0
Cat,2.55,1.33,6.92,44.13,9.35,20.5,6.05,4.5,2.23,2.43,6000.0
Deer,3.98,0.7,7.62,5.88,62.67,6.18,2.67,7.65,1.63,1.02,6000.0
Dog,1.27,0.8,5.9,15.48,7.4,57.23,2.85,6.33,1.17,1.57,6000.0
Frog,1.37,1.95,4.38,7.83,6.32,5.28,67.58,1.4,1.93,1.95,6000.0
Horse,1.23,0.43,3.22,4.08,8.42,6.97,0.73,72.73,0.38,1.8,6000.0
Ship,5.92,3.93,1.55,1.32,1.75,0.65,0.53,0.32,80.6,3.43,6000.0
Truck,3.2,10.87,1.27,2.55,1.57,1.78,1.03,1.93,4.5,71.3,6000.0
