model_type.CNN_wide

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.21009259074926376,0.3411777764558792,0.4142851859331131,0.4625296324491501,0.5032314777374267,0.5389259219169616,0.5721555531024933,0.6006055533885956,0.6279222130775451,0.6542444407939911,0.6777574062347412,0.7011722266674042,0.7235555589199066,0.7464796125888824,0.768496298789978,0.7910037040710449,0.8134703695774078,0.8358111083507538,0.8578444480895996,0.8783685266971588,0.8994777798652649,0.9191999971866608,0.9363703787326813,0.9522222220897675,0.9663685142993927,0.9771648168563842,0.9859314799308777,0.9921129703521728,0.9956148147583008,0.9976018607616425,0.9987129747867585,0.999275928735733,0.9995185136795044,0.9996759235858917,0.9998148143291473,0.9998648047447205,0.9999018609523773,0.9999425947666168,0.9999592661857605,0.999964815378189,0.9999629616737366,0.9999740779399872,0.9999944388866424,0.9999870359897614,0.9999925911426544,0.999996292591095,0.9999944388866424,0.9999981462955475,0.9999962985515595,0.9999962985515595,0.9999981462955475,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Validation accuracy,0.27615000307559967,0.37233334183692934,0.4361166685819626,0.4587000012397766,0.4967500060796738,0.5243333280086517,0.5529666662216186,0.5599500060081481,0.5894333481788635,0.5911500096321106,0.6212000012397766,0.6369833290576935,0.6363166749477387,0.6331166684627533,0.6425000071525574,0.6561166644096375,0.6552166640758514,0.6578166604042053,0.6680500090122223,0.6588333368301391,0.6616999924182891,0.6659333407878876,0.6711166620254516,0.6574999988079071,0.6660499989986419,0.6695166647434234,0.6767833352088928,0.6759999990463257,0.6817833364009858,0.6841833293437958,0.684249997138977,0.6876666665077209,0.6903000056743622,0.6899666607379913,0.6902333319187164,0.6894166648387909,0.6897500038146973,0.6898666560649872,0.6902333319187164,0.6904999852180481,0.6887333333492279,0.6898000001907348,0.689683336019516,0.6900333344936371,0.6895500004291535,0.6883999884128571,0.6891166687011718,0.6893333375453949,0.6892666697502137,0.689733338356018,0.6892833411693573,0.688949990272522,0.6887333214282989,0.6888499975204467,0.689083331823349,0.6887999951839447,0.6891333341598511,0.6883000016212464,0.6884999930858612,0.6884499907493591,0.6885999977588654,0.6885499954223633,0.6880666613578796,0.6887333333492279,0.6881833374500275,0.6885999977588654,0.6884000062942505,0.688400000333786,0.6883333265781403,0.6884833455085755,0.6880166709423066,0.6886333346366882,0.6887166798114777,0.6877000033855438,0.6882500052452087,0.6885833323001862,0.6883666634559631,0.6881999969482422,0.6881666600704193,0.6886666715145111,0.6882833361625671,0.6879666686058045,0.6879333257675171,0.6880333304405213,0.6880666792392731,0.6879333436489106,0.6882666647434235,0.6879999995231628,0.6882166743278504,0.6880166590213775,0.6880666673183441,0.688100004196167,0.6879999995231628,0.6880666732788085,0.6876666605472564,0.6878499984741211,0.6883333325386047,0.688099992275238,0.6881999909877777,0.6881333291530609
Traing loss,2.162201999198066,1.8596944989981476,1.6552342270074067,1.5185990384561046,1.406963362036811,1.3082067285890933,1.2190281858797427,1.1400268234959356,1.067679941567668,0.9981310685881862,0.9314215593179067,0.866297990014818,0.802886740008107,0.7398319277975294,0.677735066846565,0.6162518918611385,0.5541936590742181,0.4921942365262244,0.43240807083315314,0.37353768569407647,0.3173346016698414,0.2637794265906016,0.21520191204790712,0.17183549188883215,0.13284446343028986,0.10092939679109389,0.07331843175512773,0.05219959634876361,0.03753904510363937,0.02702667107764218,0.019825669901348923,0.015048336179168138,0.011984114141527702,0.009826517231896934,0.008304563927771179,0.0071403778416966966,0.006258401860317423,0.005530714917890038,0.004959161212557444,0.00452365432108442,0.004124522937841162,0.003805947498873704,0.0034878005651222477,0.00325067806684895,0.0030219056403574846,0.0028428357251505886,0.002671243243188494,0.002518436752749538,0.0023876111090614426,0.00227200212348425,0.0021577726734181243,0.0020477997118633034,0.001953821718558255,0.001871520077207781,0.0017903132131064515,0.0017203566050372535,0.0016508127361484284,0.0015870868554623385,0.0015309605694798477,0.0014751908455061277,0.001424323845695256,0.0013758274797591621,0.0013297109461656805,0.0012888816436131796,0.001247292842080437,0.0012084059587895387,0.0011755279583701244,0.0011409448539484637,0.0011088892205454478,0.0010773998090169497,0.001049032985699294,0.0010206315931182836,0.0009943537747789243,0.0009679279497341702,0.0009452728866565008,0.0009225764859519486,0.0009015911074156908,0.0008797147749138444,0.0008601442036365538,0.0008403936060706015,0.000821838658951499,0.000804646209895145,0.0007880810974316705,0.0007708815106233859,0.0007557294309423824,0.0007399754147347133,0.0007252900298456317,0.0007115797211109938,0.0006973462230916118,0.00068460336759583,0.0006720840348525801,0.0006599443108813525,0.0006481119181891834,0.0006366701381863095,0.0006251177185758327,0.0006143716656723645,0.0006040925378385173,0.0005944517263426894,0.0005842612863845985,0.0005748366489001826
Validation loss,2.007595312531789,1.7719152742067972,1.5879843209902444,1.5328203128496807,1.4290822083155312,1.3438735200881955,1.2710161130269368,1.2560981178283692,1.175571411848068,1.1769851016998292,1.0881958906173705,1.054820422363281,1.0574022575060527,1.0817552554448444,1.0594461478710175,1.0277916011810302,1.061879803832372,1.0756959825674692,1.0634953755776089,1.1259919547319412,1.1527816980044048,1.1708780762672426,1.205718410841624,1.3276381217161817,1.3483855301380157,1.383470941178004,1.386050061305364,1.4489489085992175,1.4601680177529652,1.4884968891302743,1.5307524514516193,1.548505867743492,1.5628543121258418,1.585540915163358,1.6124753388086954,1.630569711414973,1.652745313803355,1.67236570242246,1.6869856975714366,1.7018525291840234,1.7197532507975892,1.7314018922964731,1.7450914612452189,1.7567614048480986,1.7662708414713542,1.7784384322722755,1.7894613496462504,1.7988784713029857,1.8080014793713886,1.8198630703290308,1.8251528535683952,1.8353601224899294,1.84342727124691,1.8501035773913066,1.857338818335533,1.865071893072128,1.871241432372729,1.8781967372576396,1.886768512312571,1.8918879058520002,1.8988159732818606,1.903384888720512,1.9095918929100033,1.9148515693624817,1.920952952885628,1.9258211530367533,1.930569675588608,1.9366739550511045,1.9410398824373882,1.9459940918127692,1.9510847660064694,1.9554053827285771,1.9603993186950681,1.9652398335615793,1.970126189104716,1.973074518275261,1.977411401748657,1.9814679247061409,1.9858319300333658,1.988849533398946,1.9924744140386583,1.996150935236613,2.0008408574581145,2.0040306932687764,2.008084602777163,2.011457866101961,2.0142850893179576,2.0181771798292796,2.0210715716838843,2.024334414879481,2.0282963826815292,2.0307190144141516,2.033616603358587,2.0368404385089875,2.040058945719401,2.043515371990204,2.046797500435511,2.0489858642101284,2.051427808292707,2.0546341520150504


,P Airplane,P Automobile,P Bird,P Cat,P Deer,P Dog,P Frog,P Horse,P Ship,P Truck,Total
Airplane,69.3,1.85,6.83,2.37,2.77,1.12,1.1,0.97,10.45,3.25,6000.0
Automobile,2.35,78.1,1.58,1.17,0.85,0.75,1.2,0.45,5.32,8.23,6000.0
Bird,6.0,1.23,57.87,5.85,8.83,8.8,4.9,2.97,2.27,1.28,6000.0
Cat,2.15,1.3,9.82,43.85,7.03,22.07,6.23,3.18,2.3,2.07,6000.0
Deer,3.52,0.63,10.9,6.28,59.43,6.53,3.55,6.07,2.13,0.95,6000.0
Dog,1.13,0.75,8.33,14.6,5.92,58.5,3.67,4.77,1.27,1.07,6000.0
Frog,1.28,1.72,6.15,6.93,4.08,5.17,70.78,0.73,1.77,1.38,6000.0
Horse,1.5,0.45,4.78,4.33,7.4,7.72,0.85,70.65,0.67,1.65,6000.0
Ship,5.32,3.52,1.65,1.13,1.22,0.52,0.53,0.32,83.28,2.52,6000.0
Truck,3.37,11.95,1.82,2.42,1.05,1.98,1.37,1.52,5.48,69.05,6000.0
