FFN

,t,p,t*,p*,best
base vs wide,3.39,0.01,-7.600853125810225,1.701110488600038e-11,wide
base vs deep,3.39,0.01,-5.58061368925806,2.0935192133344337e-07,deep
base vs Sigmoid,3.39,0.01,103.17382068556567,1.4013504024419353e-102,base
base vs TanH,3.39,0.01,21.560453367415874,3.509654895914059e-39,base
base vs Leaky,3.39,0.01,34.90943967801032,1.8757141144953424e-57,base
wide vs deep,3.39,0.01,-0.17447215153648554,0.861850715458264,NONE!
wide vs Sigmoid,3.39,0.01,101.5496768126973,6.644000786885984e-102,wide
wide vs TanH,3.39,0.01,23.55286477591892,2.2876815043712312e-42,wide
wide vs Leaky,3.39,0.01,41.03014500814912,5.935942727381372e-64,wide
deep vs Sigmoid,3.39,0.01,103.89704347935984,7.062102346991007e-103,deep
deep vs TanH,3.39,0.01,22.75299274055855,4.1260358027427184e-41,deep
deep vs Leaky,3.39,0.01,30.00596105051485,1.6709430847903142e-51,deep
Sigmoid vs TanH,3.39,0.01,-140.68108259234663,8.043177588867369e-116,TanH
Sigmoid vs Leaky,3.39,0.01,-74.31239025417638,1.1849759965721056e-88,Leaky
TanH vs Leaky,3.39,0.01,-6.950919846188026,3.911752950628835e-10,Leaky

CNN

,t,p,t*,p*,best
base vs wide,3.39,0.01,-72.33185746413385,1.6380994812317412e-87,wide
base vs deep,3.39,0.01,-19.90791592747581,2.173938485376056e-36,deep
base vs Sigmoid,3.39,0.01,33.87680224384175,2.920264991372807e-56,base
base vs TanH,3.39,0.01,-23.612469004442538,1.8492096579349527e-42,TanH
base vs Leaky,3.39,0.01,-38.396117346440626,2.8783463919818994e-61,Leaky
wide vs deep,3.39,0.01,8.269600566933017,6.326858929006849e-13,wide
wide vs Sigmoid,3.39,0.01,36.28576779851374,5.369893843624418e-59,wide
wide vs TanH,3.39,0.01,-0.16121086265355222,0.8722558542153322,NONE!
wide vs Leaky,3.39,0.01,-1.7316696100437914,0.08644729153352688,NONE!
deep vs Sigmoid,3.39,0.01,36.009230387825845,1.08630848319119e-58,deep
deep vs TanH,3.39,0.01,-3.3571922519676654,0.0011182452057897556,NONE!
deep vs Leaky,3.39,0.01,-7.267781461694869,8.563125611720796e-11,Leaky
Sigmoid vs TanH,3.39,0.01,-36.43035890828717,3.7219889413257073e-59,TanH
Sigmoid vs Leaky,3.39,0.01,-37.877637965777936,1.0157664522080183e-60,Leaky
TanH vs Leaky,3.39,0.01,-0.8780315562032974,0.38205254044801984,NONE!
