model_type.FFN_Leaky_ReLU

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.24660740792751312,0.3047351837158203,0.33312777876853944,0.35344259440898895,0.3686555564403534,0.38074444234371185,0.39161851704120637,0.4016185164451599,0.409222224354744,0.4175425976514816,0.4233092576265335,0.43009814620018005,0.4360333353281021,0.4421370327472687,0.4470185160636902,0.4523870348930359,0.4565592586994171,0.4619111120700836,0.4668740749359131,0.4710500031709671,0.47497222423553465,0.48041666448116305,0.4844277769327164,0.4880074024200439,0.4920148104429245,0.49639629423618314,0.49956481754779813,0.5034259259700775,0.5068240761756897,0.5104722201824188,0.5142222225666047,0.5182333290576935,0.5215555608272553,0.5250759243965148,0.5279870390892029,0.5317500054836273,0.5355777859687805,0.5384148240089417,0.5423481404781342,0.5445796310901642,0.5479148149490356,0.5505944430828095,0.5542629659175873,0.5579499959945678,0.5601777791976928,0.5633574068546295,0.5669240713119507,0.5692000031471253,0.5734685063362122,0.57640740275383,0.5788314878940582,0.5817777812480927,0.5843185126781464,0.588274073600769,0.5914611041545867,0.5942111015319824,0.5963277697563172,0.60004443526268,0.6026037037372589,0.6051407396793366,0.6086814880371094,0.611511105298996,0.614085179567337,0.617420369386673,0.6211740791797637,0.623964810371399,0.6261759161949157,0.628722220659256,0.6317888855934143,0.6340999960899353,0.6371870398521423,0.6398499965667724,0.6436333298683167,0.6457426071166992,0.648716676235199,0.6512722194194793,0.6540518462657928,0.6575222194194794,0.6601611077785492,0.6634333252906799,0.665587043762207,0.6684148252010346,0.6714388906955719,0.6745944380760193,0.6775907397270202,0.6798444449901581,0.6822555661201477,0.684848141670227,0.6885870337486267,0.6915759384632111,0.6951092600822448,0.6966796219348907,0.699825930595398,0.7016537010669708,0.7047203660011292,0.7079259216785431,0.7100148141384125,0.7133944451808929,0.7164555609226226,0.7191722214221954
Validation accuracy,0.2745166659355164,0.31689999997615814,0.3330000042915344,0.3437000036239624,0.3485666662454605,0.36055000126361847,0.38396666646003724,0.3734499990940094,0.3831166684627533,0.39635000228881834,0.4045000046491623,0.3973333388566971,0.407600000500679,0.4012000024318695,0.40401666760444643,0.4081999957561493,0.41206666827201843,0.4090166687965393,0.41788333654403687,0.42314999401569364,0.42528333365917204,0.41399999856948855,0.4246333301067352,0.4250500053167343,0.43309999704360963,0.4340666651725769,0.41890000104904174,0.4326833337545395,0.43349999785423277,0.4336666613817215,0.44586666524410246,0.44211666882038114,0.4349500000476837,0.4417000025510788,0.43571666777133944,0.4369166702032089,0.4261333256959915,0.4389499962329865,0.43606666922569276,0.4356000006198883,0.441799995303154,0.45426666736602783,0.45113333165645597,0.4436333328485489,0.45456666946411134,0.4518666654825211,0.43666666448116304,0.46155000030994414,0.4586000025272369,0.4643500030040741,0.45993333160877226,0.44958333373069764,0.43860000371932983,0.45073333382606506,0.4755666643381119,0.45726666748523714,0.462716668844223,0.46855000257492063,0.45316666066646577,0.4641333341598511,0.45769999623298646,0.46424999833106995,0.45183332860469816,0.46446666717529295,0.47691666185855863,0.4504166692495346,0.4529666692018509,0.4492666691541672,0.45866666436195375,0.4735333323478699,0.4727666676044464,0.46910000443458555,0.4621999949216843,0.45591666400432584,0.4562666654586792,0.4589000016450882,0.4761166661977768,0.45718333423137664,0.4751000016927719,0.4599833309650421,0.4679000020027161,0.45788333415985105,0.4672500014305115,0.4733166635036469,0.4672999978065491,0.4679666668176651,0.4679500013589859,0.46480000019073486,0.47280000150203705,0.4770000010728836,0.4586000025272369,0.4681000024080276,0.4775166690349579,0.476433327794075,0.4718833327293396,0.45853333473205565,0.4685499966144562,0.4704999953508377,0.4794166713953018,0.4740166664123535
Traing loss,2.096657291790291,1.9729912767904778,1.9066730921745296,1.8539634838210208,1.811323002991853,1.7767264246658043,1.745140502537621,1.717690571950983,1.6935834956734268,1.670942671966553,1.6514652639424363,1.6335912958886887,1.6155190647655064,1.5993867790469418,1.583731321889383,1.5689710953889073,1.5549293929170678,1.5404456389992327,1.5270366733233134,1.5138391267529239,1.5011348006001226,1.4876275910942642,1.476096119954851,1.4640498305144134,1.45263831504186,1.441224505717666,1.4302669865255002,1.4194105537414552,1.4097931375115005,1.3987213846630522,1.3882771014778705,1.3778347206963433,1.3688351332064026,1.359353770524484,1.3491867908053927,1.3389083981973156,1.3293469517566538,1.3207691219082585,1.3107248708389423,1.3017686062424272,1.2932991804794027,1.284406941629339,1.2746002939877685,1.2657762070726464,1.2588068497940346,1.2488740369337576,1.239151079022443,1.231530114671919,1.2217820969864177,1.2125524813051576,1.205552391550276,1.1966252282248604,1.1891737930333175,1.178762028814245,1.170772622793692,1.163152561955982,1.1549669003698562,1.147340281143895,1.1380672404713101,1.1303146480931177,1.1219609735912748,1.1140637734148238,1.106110759251206,1.096773190327044,1.0874321110954992,1.08080603662067,1.072666071678091,1.0654796461776452,1.057307902599264,1.0491485859005538,1.0407457586465056,1.0328626708754787,1.0249539704870294,1.0175913523726994,1.0088171719427463,1.0003127167595758,0.9943381664558693,0.9854292946109066,0.9771216156977195,0.9688082068672887,0.9624351901495899,0.9543323393680432,0.9458583000218427,0.9366296139204945,0.9302438049510673,0.9225932204617393,0.915292776639373,0.9077164794939536,0.8989387450836324,0.8911028781519995,0.8816511916919991,0.8758744332861015,0.8675693008246246,0.8614311125790632,0.8534153601876012,0.8460092944957592,0.8383186365180546,0.8295342231114706,0.8222235262146702,0.815172317679723
Validation loss,2.02409468571345,1.9463180127779645,1.903537231667837,1.8657755485534668,1.8491112604777016,1.8134755404790242,1.7660201237042745,1.7874306778589883,1.7542907444000242,1.7235018948872884,1.702585618273417,1.7142523127873737,1.6920225211143491,1.7079118206024169,1.7023970377922057,1.685365411059062,1.6769843087514242,1.6833742546399435,1.6600489869435626,1.6499200753211976,1.6457869481722516,1.6853388631184896,1.640899294598897,1.6370617430369059,1.6167875289281208,1.618080547269185,1.6677974652926129,1.621703512986501,1.6226037344614663,1.6244937669436137,1.5852309899012247,1.5961599202156065,1.6043603467305503,1.5966705967903136,1.6331653566996256,1.6240183990796406,1.665219504928589,1.636790706602732,1.6178937522252401,1.6344026320616405,1.617438604736328,1.5845181339263916,1.584356116994222,1.6196972099939984,1.583972673670451,1.5938997998873394,1.6308546745618187,1.5652431425412496,1.5623902867317199,1.5552955485502877,1.5745221523920694,1.6130317715009057,1.6403738386154174,1.6106171536445615,1.5343717729568482,1.5842466647148132,1.5703937435468038,1.5615824915885925,1.6043594941139223,1.5872145534515378,1.6191472490151722,1.5705624468008679,1.6417850838979084,1.5909657573699951,1.5519959966977435,1.6545216451644902,1.645856987730662,1.6704975287437438,1.6261552276611329,1.5850686593373617,1.5840610613822936,1.6215746148427328,1.6236720873514812,1.6728032028516133,1.6465685800234477,1.6635690385023754,1.6050787947972616,1.6567806990305585,1.6052258755048119,1.6587445052782699,1.6594438427289326,1.6809243747711182,1.6645240737279257,1.6449992030461627,1.6483462671915692,1.6853316321690879,1.6787685311317442,1.6633824530760446,1.6567945230484011,1.6362516780853273,1.743700339682897,1.6779651845296226,1.6406687694231668,1.6474398198127749,1.6818221648534137,1.7574992800394693,1.7023318047205607,1.686809310309092,1.6484420661926265,1.7093558081944784


,P.Airplane,P.Automobile,P.Bid,P.Cat,P.Deer,P.Dog,P.Frog,P.Horse,P.Ship,P.Truck,Total
Airplane,53.35,3.55,9.7,2.08,4.67,1.57,3.88,3.28,13.28,4.63,6000.0
Automobile,2.92,64.07,2.1,2.27,1.75,1.25,3.05,2.02,7.25,13.33,6000.0
Bid,8.37,2.37,40.28,7.73,12.4,7.48,9.58,6.45,3.32,2.02,6000.0
Cat,3.28,2.45,9.93,32.73,7.13,16.67,14.72,5.72,3.6,3.77,6000.0
Deer,7.28,1.7,14.38,6.33,42.22,5.32,7.7,8.55,4.67,1.85,6000.0
Dog,2.42,1.93,11.7,20.48,7.95,33.35,10.25,6.77,2.62,2.53,6000.0
Frog,2.73,2.58,8.4,10.4,6.02,5.57,55.38,3.15,3.23,2.53,6000.0
Horse,3.33,1.5,6.2,6.05,8.62,6.28,3.05,59.57,1.42,3.98,6000.0
Ship,8.35,6.05,2.78,2.08,3.43,1.23,2.1,1.2,68.1,4.67,6000.0
Truck,3.7,15.4,1.83,3.75,2.03,2.28,3.97,4.45,7.02,55.57,6000.0
