model_type.FFN_Sigmoid

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.10718703716993332,0.1307666689157486,0.1553777799010277,0.1728851839900017,0.18424074053764344,0.19451111257076265,0.20643703788518905,0.21695185005664824,0.22530370354652404,0.23331666737794876,0.2395925909280777,0.24399444311857224,0.24892037063837053,0.25241481363773344,0.25668888688087466,0.260807403922081,0.2645037055015564,0.26908703744411466,0.2716444402933121,0.27520925998687745,0.27792222499847413,0.281637042760849,0.2854999989271164,0.2884944438934326,0.29118148386478426,0.294220370054245,0.29750925302505493,0.29955370128154757,0.30225185453891756,0.3047351837158203,0.3073370397090912,0.3100592613220215,0.31184814870357513,0.31404259204864504,0.315988889336586,0.31803518533706665,0.320120370388031,0.3216481477022171,0.32307222187519075,0.3256462961435318,0.3269574046134949,0.3283666670322418,0.329901847243309,0.3314277768135071,0.3325518548488617,0.3342351853847504,0.3359574109315872,0.33685370683670046,0.3381259262561798,0.3401018500328064,0.34119259715080263,0.34163333773612975,0.342937034368515,0.34399073719978335,0.3453185141086578,0.3458814799785614,0.34709444642066956,0.3482518494129181,0.34894629418849943,0.3497462958097458,0.35046111047267914,0.3520888894796371,0.3524111121892929,0.3532000005245209,0.3542962968349457,0.35516481995582583,0.35565740466117857,0.35634074211120603,0.3566925942897797,0.3582759290933609,0.3588166654109955,0.3591481536626816,0.35921851694583895,0.3602574110031128,0.36089629530906675,0.3616092622280121,0.3613703727722168,0.36299814879894254,0.363592591881752,0.3644037038087845,0.3653277814388275,0.36553889214992524,0.3665259271860123,0.3668148159980774,0.36729444563388824,0.36794999837875364,0.36813333332538606,0.36834814846515657,0.3700296312570572,0.37025555074214933,0.3704722195863724,0.37116481363773346,0.37126111388206484,0.37287592589855195,0.37353703677654265,0.3740462988615036,0.3742000013589859,0.37494259476661684,0.37612222135066986,0.3767907381057739
Validation accuracy,0.10525000095367432,0.15648333430290223,0.15430000126361848,0.17358333468437195,0.1876000002026558,0.19501666724681854,0.21510000228881837,0.21079999804496766,0.22848333269357682,0.23601666539907457,0.244316665828228,0.24490000307559967,0.24671666473150253,0.2536833301186562,0.25678333193063735,0.2579999968409538,0.26038333773612976,0.2618499994277954,0.2664000019431114,0.2748166710138321,0.2777833312749863,0.2744499981403351,0.28651666939258574,0.27939999997615816,0.28901666700839995,0.2933833360671997,0.2913666695356369,0.29476667046546934,0.2949166655540466,0.2987333357334137,0.3042333275079727,0.3038833349943161,0.3023999959230423,0.3074999988079071,0.30601666271686556,0.30959999561309814,0.31071666777133944,0.3096666693687439,0.30879999697208405,0.321450001001358,0.31720000207424165,0.32391666769981386,0.3211166709661484,0.3234333336353302,0.32525000274181365,0.3268833339214325,0.32246666848659516,0.325533339381218,0.3279833346605301,0.32944999933242797,0.3246833264827728,0.326583331823349,0.32993333637714384,0.3344666659832001,0.3364333301782608,0.33453333377838135,0.33798333406448366,0.33754999935626984,0.3370333343744278,0.3389500051736832,0.3373166620731354,0.33891666531562803,0.33564999997615813,0.3385666638612747,0.34738333225250245,0.3420500040054321,0.34236666560173035,0.3396833300590515,0.34251666367053984,0.3407499998807907,0.34668333530426027,0.3413833349943161,0.34668333530426027,0.348183336853981,0.3501333326101303,0.34819999933242796,0.3533166706562042,0.34856667220592497,0.3460166662931442,0.35451666414737704,0.35400000512599944,0.34990000128746035,0.3483333349227905,0.3488166630268097,0.35188332498073577,0.35398333966732026,0.35493333339691163,0.35105000436306,0.3578666627407074,0.3522333294153214,0.3496333360671997,0.35104999542236326,0.36046667098999025,0.3566666662693024,0.3520833313465118,0.3567333400249481,0.35298333168029783,0.35560000538825987,0.3619833290576935,0.35770000219345094
Traing loss,2.3075458828890762,2.286568795945909,2.255920074477019,2.218296972345423,2.190281195887813,2.171688278650355,2.153841217599092,2.1353942952933136,2.1177895776289484,2.101657192240821,2.0890647336041486,2.0788962959395514,2.070037963383286,2.062108797974057,2.054471026989266,2.0469111065935204,2.0395644733040417,2.031917875512441,2.0245665339999723,2.0171697156058417,2.0101882678279166,2.0028781645315665,1.996034703738601,1.9895565508100723,1.9831722902227331,1.9770793327684753,1.9711245779390687,1.9655845356340762,1.960569270515442,1.9553485692871937,1.9502459095248468,1.9457450367115166,1.9414324521700543,1.9372518400086296,1.9333008169174193,1.929490581434744,1.9259682261784872,1.9228064802275764,1.919209156347204,1.9163065361199556,1.9134657600438154,1.9108154014622727,1.9079280624460293,1.9051182948642307,1.9028785767731844,1.9003744761572943,1.897827871234329,1.895894754872499,1.893386306208151,1.8911450592288261,1.8891087403262101,1.8869219219313726,1.885310164504581,1.88333485743558,1.8813680840209681,1.8797321273944998,1.8780460635821021,1.876199061980071,1.8745327058015047,1.8730196932757344,1.8714543531877024,1.8699336047349155,1.8683815772515757,1.8667029133337514,1.8649691633153842,1.8638664992120533,1.862316518271411,1.8606446829371983,1.8597410907250862,1.8580830965607256,1.8568155391869723,1.855151172210552,1.8540292676890338,1.8527531869711698,1.851052693960402,1.8496579693758932,1.8485423597300492,1.8468936264461937,1.845715837874236,1.8438424534868312,1.8429514581256445,1.8415371340115865,1.8400734215241894,1.8385832315515587,1.8368460768134507,1.8357012402569803,1.8342107366632532,1.8326064694722493,1.831283188191167,1.8294761358579,1.8279292444017199,1.8263349807633293,1.824586564798708,1.822992079971455,1.8211227310004054,1.8192263922196852,1.8173362764782375,1.8156493331414683,1.8135558598306445,1.8117887826177808
Validation loss,2.3058429445266726,2.2709655291875204,2.2385772741953534,2.205634702936808,2.1848447534561153,2.165500775337219,2.143564112726847,2.1339225253423058,2.115777113723755,2.0977601756731667,2.083611968231201,2.0783154150962835,2.0678032110532127,2.066998087120056,2.0592196276664736,2.0478379220644634,2.039681466197968,2.0371048733393353,2.025692952283223,2.0172265444437665,2.0127533875465393,2.0096487480163576,1.9965775686581932,1.9990667298316953,1.9915949977874754,1.9830253308931987,1.9832231645584109,1.9770771746635436,1.9739695551554362,1.9658903485933936,1.9600567757288612,1.9589480052312216,1.9549687701861065,1.949598715655009,1.9493740128517154,1.9460300882021584,1.9398618688265479,1.943374398994446,1.9457541522343953,1.9257620355923968,1.935169648297628,1.927735222307841,1.9264519083976743,1.921631031767527,1.919666749699911,1.915868424828847,1.9187973893483476,1.9111861792246496,1.911427579498291,1.908551321951548,1.9208097721417743,1.9176985851605735,1.9091034760157264,1.9029747847874958,1.899592210261027,1.9028018722534177,1.9020649112065633,1.9034184061050414,1.9046644563357038,1.9018813398361203,1.9026076049804685,1.9017396545410157,1.901623937702179,1.8967742562929786,1.8835121169408162,1.8971977803866067,1.8907160126368203,1.9042749791145326,1.891128964773814,1.8934911638259888,1.886075858306885,1.8899603636741642,1.8829107782999674,1.8834086941083275,1.8779141960144041,1.8836411184946698,1.8765146319707235,1.8836437458356223,1.881971151574453,1.8715031123797097,1.8767329890251159,1.8765446593602497,1.8816772007942202,1.8776983746210736,1.872139730167389,1.8660778172175092,1.8693163787523908,1.873643497371674,1.8586521529197693,1.871460957400004,1.8704005558967587,1.8741818561553956,1.8565000727653505,1.8625568923950193,1.864110361067454,1.8626059218406676,1.8664616696039835,1.8563574891408288,1.8514684396743775,1.852803913815816


,P Airplane,P Automobile,P Bird,P Cat,P Deer,P Dog,P Frog,P Horse,P Ship,P Truck,Total
Airplane,36.92,4.58,13.62,2.93,6.98,1.33,3.82,5.07,17.6,7.15,6000.0
Automobile,4.35,50.43,1.75,3.58,2.35,2.62,5.12,5.03,8.63,16.13,6000.0
Bird,13.45,4.73,33.72,6.83,9.4,3.87,13.13,7.25,4.75,2.87,6000.0
Cat,5.97,6.48,12.03,22.82,7.85,8.8,17.65,6.43,5.37,6.6,6000.0
Deer,14.5,3.6,17.78,5.05,25.73,3.93,10.83,9.72,5.02,3.83,6000.0
Dog,5.28,5.95,16.83,15.7,9.28,15.67,15.15,7.6,4.8,3.73,6000.0
Frog,5.2,6.6,11.08,11.68,6.98,4.98,38.3,5.22,5.68,4.27,6000.0
Horse,6.42,4.5,7.58,5.98,11.12,3.8,6.43,43.47,3.45,7.25,6000.0
Ship,17.22,6.93,2.8,2.87,2.85,1.85,2.43,1.77,52.02,9.27,6000.0
Truck,6.22,19.13,1.6,2.63,1.73,1.57,4.57,6.02,9.7,46.83,6000.0
