model_type.FFN_TanH

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.2488537013530731,0.3009981483221054,0.3205296367406845,0.33210185170173645,0.3396018475294113,0.34550926089286804,0.3524611085653305,0.3582185208797455,0.36433703899383546,0.3697037100791931,0.3745370388031006,0.3803259253501892,0.3849740713834763,0.38904999792575834,0.39411296248435973,0.398199999332428,0.40152037143707275,0.4073259264230728,0.41124444305896757,0.4159740716218948,0.4192703664302826,0.42361666858196256,0.42793703079223633,0.43117963075637816,0.43394629657268524,0.43788333535194396,0.4410499960184097,0.4448166638612747,0.4473796308040619,0.4505648136138916,0.45298333168029786,0.4571407437324524,0.4602185159921646,0.46266851723194125,0.46565000116825106,0.46866852045059204,0.4720129668712616,0.47481851279735565,0.4779740750789642,0.4800500005483627,0.4839037090539932,0.4862277746200562,0.48891481757164,0.4921833276748657,0.49543332755565644,0.4975555568933487,0.5008092552423478,0.5033277869224548,0.5063611149787903,0.5094018459320069,0.5120611011981964,0.5150870382785797,0.5171814799308777,0.5204407334327698,0.5223203718662262,0.5246333301067352,0.5273666679859161,0.5308018445968627,0.5334185183048248,0.5363111138343811,0.5392296254634857,0.5405888974666595,0.5434666633605957,0.5469685077667237,0.5500333309173584,0.5523833394050598,0.5543555617332458,0.5571981430053711,0.5604740738868713,0.5627129673957825,0.5648777782917023,0.5687185227870941,0.5708925902843476,0.5733611106872558,0.5764037072658539,0.5788037061691285,0.5822314918041229,0.5839666664600373,0.5873425841331482,0.5903129577636719,0.5920037150382995,0.5953092634677887,0.5981555581092834,0.6007611155509949,0.6034351825714112,0.605687040090561,0.6085111021995544,0.6122666716575622,0.6152055501937866,0.617379629611969,0.6202999889850617,0.6230981588363648,0.625216668844223,0.6280833303928375,0.630738890171051,0.63386852145195,0.6365388810634613,0.6394018530845642,0.6419314801692962,0.645157414674759
Validation accuracy,0.2666499987244606,0.3029000014066696,0.30878333300352095,0.31328333616256715,0.3088166654109955,0.31688332855701445,0.3431500017642975,0.32706665992736816,0.34401666820049287,0.35251666605472565,0.35898333191871645,0.3593166708946228,0.3670500010251999,0.3626333326101303,0.36501666605472566,0.37239999771118165,0.3761666715145111,0.3744000047445297,0.38553333282470703,0.3864333391189575,0.39076666831970214,0.3885166734457016,0.39906667172908783,0.39331667125225067,0.400749996304512,0.40446666777133944,0.40225000083446505,0.40186666548252103,0.4090166687965393,0.4120999962091446,0.4201833367347717,0.41674999594688417,0.41168333888053893,0.4184333324432373,0.41903333365917206,0.41826666295528414,0.42000000178813934,0.4242000013589859,0.41881666481494906,0.43195000290870667,0.42870000302791594,0.43581666350364684,0.4325499951839447,0.4385333299636841,0.4402999997138977,0.4402833342552185,0.43299999833106995,0.44163333177566527,0.4448166638612747,0.44351666867733003,0.44611666798591615,0.44944999516010287,0.43840000331401824,0.4488000005483627,0.4549166649580002,0.4532333344221115,0.4496666669845581,0.45628333687782285,0.4535666614770889,0.45611666738986967,0.4589666694402695,0.4528333365917206,0.45593333542346953,0.4577333301305771,0.4672000020742416,0.4628333359956741,0.45891666412353516,0.458283331990242,0.4617833346128464,0.46698333621025084,0.47255000174045564,0.46781666576862335,0.4679333359003067,0.47051667273044584,0.46579999923706056,0.46621666848659515,0.4710999995470047,0.4665499985218048,0.4710999965667725,0.4695833265781403,0.47240000069141386,0.46671666502952575,0.469866669178009,0.4737833321094513,0.47915000319480894,0.4761833310127258,0.4750333309173584,0.4745666652917862,0.480799999833107,0.47526666820049285,0.4730833351612091,0.4777666687965393,0.48138333559036256,0.47594999969005586,0.4783000022172928,0.47245000302791595,0.47439999878406525,0.47569999992847445,0.4777500003576279,0.47879999577999116
Traing loss,2.082926299102218,1.982520203982459,1.9413970720785632,1.9173881644637496,1.8998326179221823,1.8855039505146167,1.8697383669676602,1.8545558270807618,1.8396398315676936,1.8239441590379788,1.8088730849831194,1.7938931870177943,1.7789283695574156,1.7653732634191157,1.7524102455810262,1.7386422553804188,1.7258731022269636,1.7121908834174828,1.6985623366638467,1.6858111444120056,1.6732419408727577,1.6605902992001282,1.6492725847526835,1.6384759973172784,1.6280353813171389,1.6180020462248064,1.6079276014080754,1.5979282480593082,1.5893678140393008,1.5795648758075855,1.5701767545311538,1.560767831940121,1.5518811587792853,1.5428146893889818,1.5333489093709873,1.524158610534668,1.5150420787281462,1.5066163595694084,1.4968680906472385,1.4883094836199722,1.4793337824680188,1.4706306103635716,1.462175805838903,1.4528610095553929,1.4450923721101547,1.436091222688887,1.426978813178451,1.4193032699408354,1.4106589636626068,1.4025312374114989,1.394666426012251,1.3865579792623168,1.3791344924608864,1.3703533461729687,1.362607072607676,1.3555846230436253,1.3479893332799275,1.340270415214256,1.331913470893436,1.3239215768496195,1.316642396704356,1.3092944287547357,1.3012688305572229,1.293540813884029,1.285379703120832,1.2781614907158745,1.2711657899538675,1.263053258503808,1.2555569689538744,1.2478380460350602,1.2406546176769115,1.232819743597949,1.225452867027565,1.2181348767810398,1.2099958067364163,1.2026875744749002,1.1953734264532723,1.187767851165489,1.1804296057224275,1.1721276855044898,1.1652691482084767,1.1575912431222422,1.1504290199880247,1.1424562612180356,1.1350538655651943,1.1276583675419842,1.1205723761381925,1.1127186602327561,1.1051712263248585,1.0975043502348443,1.090148157564799,1.082321719012437,1.0750596762392255,1.067569330817682,1.0606466976254076,1.053342420502062,1.0457005828928065,1.038358674173002,1.0305611620373196,1.023798056097384
Validation loss,2.040467762502035,1.9728202416419982,1.9654292655309042,1.9488348568916318,1.953877512582143,1.9379680075009662,1.8909127701759338,1.9120846778869631,1.8921165358861287,1.8629356083869932,1.8409384252548218,1.8393570083300272,1.8255915540695191,1.8337677802085879,1.8175771321296694,1.8034803676605224,1.7924032910346988,1.788640131600698,1.7631332509994508,1.7608203026135762,1.7431642446835833,1.7469407890637716,1.7266775762875874,1.7309504644076028,1.719045108763377,1.704371139717102,1.713417301686605,1.7055083176930748,1.6926725879987081,1.6846477764129637,1.668341850630442,1.6677104251861572,1.6752724652608233,1.6611061146418251,1.6595978247642518,1.6605807108879087,1.6619151119550069,1.6466047228495282,1.651260925738017,1.620569234593709,1.6329714126904809,1.6133478291193644,1.6185388634999593,1.6071350474675499,1.6053602742195128,1.6072843736330669,1.6187750327746073,1.5969032633781435,1.5880932448069254,1.5926539718468986,1.5885943499883017,1.5849661019007368,1.6095874022165937,1.580272737725576,1.5684473686854044,1.5686408219019572,1.5710521356264748,1.5584261390686038,1.5672926990350085,1.56439114707311,1.5696769536018371,1.5717839420636495,1.5669003518422446,1.5699077337582905,1.5394779359499613,1.554884613577525,1.5627195365905764,1.5676353828112286,1.5573234169006347,1.5431878580093383,1.5288985150655112,1.5458509180704754,1.5432982064565022,1.5368159160614014,1.554911132589976,1.5502936513264973,1.5407481654802955,1.5491936716715495,1.5457488333066305,1.5448687672615051,1.5480860897699993,1.5596242063204449,1.5564693462053936,1.536101516501109,1.5238071740786236,1.5369588099479674,1.548033560371399,1.5402866740385692,1.5333784364700318,1.5440183026790617,1.565944243653615,1.5462600436528522,1.532885422039032,1.5559011919021606,1.54678021996816,1.573449102195104,1.5685133277257284,1.5623072838783263,1.5583913485209149,1.5597949198087058


,P.Airplane,P.Automobile,P.Bid,P.Cat,P.Deer,P.Dog,P.Frog,P.Horse,P.Ship,P.Truck,Total
Airplane,57.03,4.03,7.7,1.78,3.73,2.13,3.55,3.98,11.22,4.83,6000.0
Automobile,4.13,62.77,1.62,1.73,1.3,1.8,3.07,2.68,6.28,14.62,6000.0
Bid,9.97,3.2,38.15,6.63,11.12,9.18,9.67,6.75,2.95,2.38,6000.0
Cat,4.1,2.87,10.1,26.52,5.93,21.3,14.43,5.88,3.95,4.92,6000.0
Deer,8.8,2.12,15.0,5.2,37.0,7.55,7.63,9.55,4.75,2.4,6000.0
Dog,3.43,2.38,11.62,15.57,6.77,36.95,10.27,7.37,2.77,2.88,6000.0
Frog,3.83,2.87,7.98,9.05,5.47,8.87,51.93,3.55,3.22,3.23,6000.0
Horse,4.37,2.1,6.32,4.97,7.35,7.95,3.28,57.65,1.63,4.38,6000.0
Ship,11.92,6.03,2.08,1.9,3.35,1.93,1.83,1.75,63.52,5.68,6000.0
Truck,4.88,15.53,1.53,3.02,1.58,3.17,3.5,4.68,5.97,56.13,6000.0
