model_type.FFN_base

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.24727407544851304,0.305437034368515,0.33696111142635343,0.3603240728378296,0.37803888618946074,0.39266110956668854,0.4053888857364655,0.4169666677713394,0.42654259204864503,0.43607592582702637,0.4435907393693924,0.45259999930858613,0.46012592911720274,0.4685629606246948,0.4753777742385864,0.482600000500679,0.48840740919113157,0.49619629681110383,0.5022685110569001,0.5077314853668213,0.5147907435894012,0.5207888841629028,0.5261185169219971,0.5321777760982513,0.5383351802825928,0.5440185189247131,0.5497833371162415,0.5552370369434356,0.5605796277523041,0.5662611126899719,0.5717166721820831,0.5774129748344421,0.5822129666805267,0.588224071264267,0.5936000108718872,0.5996925890445709,0.6048462927341461,0.6091018497943879,0.6153240621089935,0.6200814783573151,0.6260944366455078,0.6299018442630768,0.6359666645526886,0.6417759239673615,0.6456481516361237,0.6518314778804779,0.6570444345474243,0.6614888787269593,0.6672962963581085,0.6720722317695618,0.6775759279727935,0.6826370298862457,0.6871481478214264,0.6933481454849243,0.6981481492519379,0.7025148153305054,0.7078000009059906,0.7127074003219604,0.7175222218036652,0.7224536955356597,0.7274555623531341,0.7321981489658356,0.736944442987442,0.7419240832328796,0.7471277773380279,0.7517666578292846,0.7565222322940827,0.7604370296001435,0.7651962995529175,0.7696370422840119,0.7748907387256623,0.7792777776718139,0.7842333316802979,0.7876592636108398,0.7928537011146546,0.7971944391727448,0.800633329153061,0.805737042427063,0.8092555522918701,0.8131796240806579,0.8172833263874054,0.8214981555938721,0.8255777716636657,0.8300833404064178,0.8346277713775635,0.837329626083374,0.841438889503479,0.8456000030040741,0.8491333305835724,0.8533148169517517,0.8563499987125397,0.8604296267032623,0.8637907445430756,0.8664648234844208,0.8703129529953003,0.8731222212314605,0.8765777766704559,0.8806351840496063,0.8827962934970855,0.8864573955535888
Validation accuracy,0.27590000331401826,0.3206499993801117,0.33865000009536744,0.35201666355133054,0.3601833313703537,0.3789833337068558,0.39686666429042816,0.39020000398159027,0.40105000138282776,0.4138833284378052,0.4205499947071075,0.4184666693210602,0.4294999986886978,0.4228333353996277,0.4293666660785675,0.4294666647911072,0.43793333470821383,0.4362500011920929,0.4400999963283539,0.44818333387374876,0.4499166637659073,0.44500000178813937,0.4484499990940094,0.44855000376701354,0.4637833297252655,0.4637166678905487,0.44773333370685575,0.4592000037431717,0.4606166660785675,0.4668833315372467,0.47336665987968446,0.46943333446979524,0.470716667175293,0.47098332941532134,0.4608166664838791,0.4695500016212463,0.45586666464805603,0.46936666369438174,0.4689999997615814,0.4669833332300186,0.4647666662931442,0.47679999768733977,0.48021666407585145,0.47305000126361846,0.4772833317518234,0.477933332324028,0.46813333630561826,0.4815166711807251,0.4882333278656006,0.4940666645765305,0.4854333341121674,0.4772833377122879,0.46349999904632566,0.4833333343267441,0.49053333401679994,0.4884999990463257,0.4862500041723251,0.48634999990463257,0.47881666421890257,0.48931666612625124,0.4880833297967911,0.4900000005960464,0.4753166675567627,0.4891833335161209,0.5021833300590515,0.48130000233650205,0.4764499992132187,0.47120000422000885,0.48711666464805603,0.5012166708707809,0.4949666649103165,0.4974666625261307,0.49011666178703306,0.48629999458789824,0.48338332772254944,0.48723332583904266,0.48190000355243684,0.48193333148956297,0.48726666867733004,0.49358332753181455,0.49316666424274447,0.4852500021457672,0.4959333330392838,0.49171666204929354,0.4959833323955536,0.4894333273172379,0.4862500101327896,0.4898999959230423,0.49856666326522825,0.4906499981880188,0.4979333370923996,0.4957333326339722,0.5006666630506516,0.5042166650295258,0.497283336520195,0.49146666526794436,0.49148333072662354,0.49054999053478243,0.49135000109672544,0.5002666682004928
Traing loss,2.0991052858140735,1.9656156233187076,1.889765883216152,1.8263006936956334,1.7745653382937114,1.7327844976637095,1.6953948824458653,1.662929915131463,1.6340958692374052,1.6066353237505315,1.5819009333398606,1.558610574333756,1.5353522229689138,1.513615325991313,1.4925793596726877,1.4723892711886655,1.4535628752037328,1.4335851219389175,1.4151967969823764,1.3977108018910442,1.3799830031889457,1.361881537317347,1.345458562925127,1.3287841371306668,1.3126845341682434,1.2966331142496181,1.280924779683572,1.265159951912915,1.250516973267661,1.2350353968584977,1.2198176118674102,1.2045540624901099,1.1898582582456094,1.175158765298349,1.1600956158743965,1.144834690980558,1.1303753824445935,1.1164293618325833,1.100937611664666,1.0866303729339881,1.072738931272648,1.0578921592836026,1.0429070355221077,1.0288255145267204,1.0158338104760207,1.000328044884293,0.9850752379028886,0.9720415542461254,0.9565800904397612,0.9423799384558643,0.9291669505525519,0.9144116307029018,0.9011740232608936,0.8857544972878916,0.8721006231943766,0.8587638625851385,0.8450512481036009,0.8321340634028116,0.818226378632475,0.8043887303546624,0.790271997250451,0.7776978729530617,0.7643779296442315,0.7505919757525127,0.7358732588238187,0.7239165338101209,0.7106369192759197,0.6988207331180573,0.6857212100558812,0.6725109711956097,0.6598973656592546,0.6483173578889282,0.6355077507601845,0.6233172241970345,0.6104888701279958,0.598563842399032,0.5884232285658519,0.5764807713526267,0.5630297437314635,0.5525375700473785,0.5412774862430714,0.5296474755234188,0.5186783505850368,0.5065322227667879,0.49576736782656783,0.4861322859914215,0.4766217150440923,0.465303076907882,0.4540633087524662,0.44383259055172963,0.43458733981406245,0.42353692303012913,0.41467451325743293,0.4065162028281777,0.39611929090287945,0.3876524558460271,0.3777083629171054,0.368171475148201,0.36035613768387725,0.35200712902236875
Validation loss,2.019271209685008,1.9339681412061054,1.878527993075053,1.833186985874176,1.808258854929606,1.761280841223399,1.7194843165079754,1.729381755765279,1.694860261217753,1.6642103102366128,1.6462989040692648,1.6474729196866356,1.6218065966924033,1.6369269696871438,1.6149058171272277,1.6156436889330545,1.5968284792264302,1.598143328857422,1.59235292096138,1.5630609467188514,1.566771579202016,1.589466309865316,1.5637772108078003,1.5653674748420716,1.5261521488507588,1.5313074512799583,1.5753725846131643,1.5392352300326029,1.5445145665168762,1.5263351403872174,1.5097817985216777,1.5279143899917602,1.5179802237351736,1.522962915643056,1.5788517355283103,1.5345186717669173,1.5914875198364258,1.5606735580126445,1.5390190157572428,1.571930043745041,1.5780691177686053,1.548188103755315,1.5394577710151673,1.5624112586339316,1.5633630240440368,1.5574476199150085,1.5891452498118082,1.557916954358419,1.5300622496922809,1.5238378245353696,1.5485304259936015,1.6053072009086609,1.647057320276896,1.5863427906672158,1.5709537193139393,1.578443615023295,1.5857583815892535,1.608063511880239,1.635354637813568,1.615661159944534,1.637131624476115,1.605940555524826,1.7077935600916543,1.6409124951044718,1.5983470271110536,1.6997997565587366,1.752406313260396,1.7817902499516804,1.6989163692474363,1.6420037152608238,1.6904389045079546,1.703252221330007,1.7274239253203074,1.779744083277384,1.780641335932414,1.8110281572341917,1.8487275097846987,1.8266088620185847,1.8272441476186116,1.7876642488797505,1.8205229339917501,1.8660733719507854,1.829555420176188,1.8794036944071455,1.8338703932762148,1.9207490283330284,1.935846033668518,1.9129422800381977,1.8828476219177248,1.9488654136975607,1.9094782218933104,1.933515467007955,1.9173002798080443,1.9139469600995382,1.9841893182277677,2.0436966488838197,2.032941226418813,2.041188190046946,2.0628803785959877,2.0537924327214556


,P.Airplane,P.Automobile,P.Bid,P.Cat,P.Deer,P.Dog,P.Frog,P.Horse,P.Ship,P.Truck,Total
Airplane,54.37,3.13,9.45,1.63,5.0,1.68,3.25,3.32,12.62,5.55,6000.0
Automobile,3.25,62.6,1.65,1.98,1.35,1.22,2.85,2.02,7.0,16.08,6000.0
Bid,8.13,2.42,41.67,6.87,12.12,8.37,8.63,6.4,2.67,2.73,6000.0
Cat,3.35,2.4,11.57,28.73,7.32,18.4,13.85,5.97,3.4,5.02,6000.0
Deer,7.5,1.68,16.38,4.62,40.87,6.07,6.98,8.77,4.58,2.55,6000.0
Dog,2.48,1.75,13.52,18.28,7.9,33.08,10.1,7.65,2.07,3.17,6000.0
Frog,2.75,2.57,9.07,8.83,6.93,7.35,52.62,3.28,2.83,3.77,6000.0
Horse,3.75,1.38,6.58,4.67,8.07,6.58,2.93,60.38,1.22,4.43,6000.0
Ship,8.98,6.08,2.55,1.83,3.47,1.27,2.07,1.45,66.52,5.78,6000.0
Truck,4.1,14.72,1.77,2.87,1.62,2.4,3.0,4.63,6.93,57.97,6000.0
