model_type.FFN_deep

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.24610925763845443,0.30724074244499205,0.3443555563688278,0.36859444379806516,0.38729444444179534,0.4020481467247009,0.41551111042499544,0.4270925909280777,0.43802222013473513,0.44880000352859495,0.45800740718841554,0.4683962970972061,0.47744074165821077,0.4864925920963287,0.4944166630506516,0.5031925916671753,0.5101777851581574,0.5190703690052032,0.5266055464744568,0.5340129733085632,0.5420611143112183,0.5498648166656495,0.5576092660427093,0.5647240698337554,0.572081470489502,0.5796944320201873,0.5862888872623444,0.5947499990463256,0.602229630947113,0.6092370331287384,0.6166185200214386,0.6238537013530732,0.6312129616737365,0.6383351802825927,0.6466333389282226,0.6544425964355469,0.6613870322704315,0.6674185276031495,0.6757851898670196,0.682659262418747,0.6902092695236206,0.6971536993980407,0.7045444369316101,0.7112092554569245,0.7184148073196411,0.7261481523513794,0.7336351871490479,0.7406185150146485,0.7479555547237396,0.7540611147880554,0.7604537010192871,0.7670351803302765,0.7741962909698487,0.7810314714908599,0.7873833358287812,0.7936111152172088,0.8003129661083221,0.8071388900279999,0.8126759231090546,0.8189111113548279,0.8238666594028473,0.8297777771949768,0.8355722188949585,0.8409018456935883,0.8472536981105805,0.8520777821540833,0.8567166686058044,0.8616203665733337,0.8655018448829651,0.8721759259700775,0.8745796382427216,0.8799944460391999,0.88454629778862,0.8880611062049866,0.8927814841270447,0.8957407355308533,0.9001444518566132,0.903555554151535,0.9075018405914307,0.9112518489360809,0.9128574192523956,0.91699258685112,0.9196925938129425,0.9213759303092957,0.9245925903320312,0.9293296337127686,0.9307111144065857,0.932996290922165,0.9346759200096131,0.9380129635334015,0.9391018509864807,0.9440259218215943,0.9450851917266846,0.9468314826488495,0.9465092599391938,0.9488388776779175,0.9507611095905304,0.9524629712104797,0.9541833341121674,0.9554259300231933
Validation accuracy,0.2739666625857353,0.3227833271026611,0.3419500023126602,0.34994999766349794,0.3602833360433578,0.3804000049829483,0.4012166649103165,0.38988333344459536,0.40456666648387907,0.4185333281755447,0.42384999990463257,0.4233666658401489,0.4300666660070419,0.42688333094120023,0.4377166658639908,0.43231667280197145,0.4390166699886322,0.44335000216960907,0.44523333609104154,0.4562333345413208,0.4579166680574417,0.4484666645526886,0.4527166664600372,0.45406667292118075,0.46746666431427003,0.4702666670084,0.4488499999046326,0.47239999771118163,0.474250003695488,0.4755166620016098,0.4758166640996933,0.47126666605472567,0.46950000524520874,0.4754500061273575,0.4564833343029022,0.48148333728313447,0.46474999785423277,0.4758000046014786,0.4716166704893112,0.45793333649635315,0.47293333113193514,0.4749166637659073,0.4747333377599716,0.4758833318948746,0.47881666719913485,0.4897833317518234,0.4739166647195816,0.48458333015441896,0.48188333213329315,0.4900499999523163,0.4824999928474426,0.49009999334812165,0.47821666598320006,0.48220000267028806,0.4843500018119812,0.4866500020027161,0.48278333246707916,0.49013333320617675,0.4830499947071075,0.4918499976396561,0.4971833348274231,0.4891833275556564,0.486833330988884,0.4901666671037674,0.4950000047683716,0.4929499953985214,0.49273333251476287,0.47786666452884674,0.49779999256134033,0.49646666944026946,0.4984166622161865,0.4929333388805389,0.49646666944026946,0.5017333298921585,0.48671666383743284,0.48721666634082794,0.49186666309833527,0.49189999103546145,0.5021333247423172,0.4831666678190231,0.4924833387136459,0.4922833383083344,0.4949666649103165,0.49749999642372134,0.4965166628360748,0.4964833348989487,0.5030333280563355,0.4917833387851715,0.5057500034570694,0.498433330655098,0.5072166651487351,0.4780000030994415,0.4941333383321762,0.5006666719913483,0.49305000603199006,0.5015333324670792,0.49771666824817656,0.48711666762828826,0.5010833412408828,0.5083333373069763
Traing loss,2.0932435637050206,1.945589470912792,1.85415928136331,1.7868388879069574,1.7340410542064242,1.691659197143272,1.653543551388493,1.6191069384610213,1.5882244045010319,1.5577679632292853,1.5297596908816584,1.503020905385194,1.4768645913441973,1.4518776305092707,1.4276764720952069,1.4047947483345316,1.3827647660608648,1.3594982933044433,1.3375391208719325,1.3160176725140325,1.2947679965902261,1.2724314789030287,1.2519459052227162,1.2306831664350297,1.2104640353767961,1.1897038075500064,1.1692153701534977,1.1480242893324957,1.127821670544589,1.1069510855939655,1.0869351327454602,1.0665306134082653,1.044908941825231,1.0255612065544837,1.0037820353207765,0.983175751046781,0.9623169018003676,0.9430751514099264,0.9214964200055158,0.9019700388678797,0.8821019381152257,0.8604808353088519,0.8406479416970853,0.8207843488852185,0.8008566393967028,0.7804441623255058,0.7593537646947084,0.7397506737894483,0.7201972401512995,0.7014613643884658,0.683131078363348,0.6639684201558432,0.6452204561260012,0.6251685819780385,0.6085789073445178,0.5901047847156173,0.5726882216197473,0.5537872550399215,0.5384069511285535,0.52149466087774,0.5055236400189224,0.48982511433495424,0.4737857603421918,0.45875206164386545,0.4417141759634018,0.4273528886786214,0.41423356678265116,0.40054309989699616,0.3879280257050638,0.37156709749367506,0.36331854157469895,0.3501376698546939,0.3357819372287504,0.32635508867756086,0.31247520611131624,0.30355005244502314,0.2923918633467621,0.2834522092298225,0.2717426860879969,0.2617598674069952,0.256813302172886,0.24614358441956616,0.23779978924465403,0.23170103283855648,0.22341755947680383,0.21144705709103082,0.20581971204098726,0.20048985182510481,0.19560232682459883,0.18634975260407835,0.1818173463748561,0.17017167576027137,0.16603355053624622,0.16050520353063388,0.16213572026990627,0.15565728330394185,0.14910555424334274,0.14522552661092747,0.14089989097328096,0.1374046774757405
Validation loss,2.0120360139528914,1.911750838279724,1.854679460207621,1.8262305322647094,1.7925464984893797,1.74113130791982,1.694811671447754,1.71966920337677,1.6792090388615926,1.638472260093689,1.6235906274795533,1.6282529918670654,1.613708502705892,1.624660510571798,1.5964713744481405,1.6093665097236634,1.5964046313603721,1.588234298324585,1.591692141898473,1.5572212813218436,1.5547152626037595,1.6147760526021322,1.5749413768450418,1.5652975950241088,1.5393407359759013,1.5320538885434467,1.6181636843045553,1.5301368387222287,1.5391356903076172,1.5330491405487061,1.5438088554064433,1.5744203422546383,1.5721482005119323,1.563650330066681,1.677193436908722,1.5752474365552265,1.6430320167223615,1.6205322684605918,1.6315910595893857,1.7171474425633746,1.660219176387787,1.7238974030812577,1.6877223599116007,1.6870283610026042,1.692663765780131,1.6681685365358991,1.7431160592079162,1.7199605819066364,1.7587980798403422,1.7279074078877765,1.791067162291209,1.7641852456092835,1.8301741973559065,1.871200437609355,1.8685314850489299,1.863619862047831,1.895566902287801,1.9157474966367083,1.9396619393348697,1.95010253311793,1.9516585958957673,1.9929887558619181,2.04346871620814,2.0637011358578996,2.046128821722666,2.0676111082077027,2.1205458483695985,2.2893918260256454,2.1492958964347837,2.181792654069265,2.2046813585917158,2.2718487640062968,2.2768947131951647,2.2302661799430847,2.3860830908139548,2.4683053169727325,2.413397992356618,2.4293823540051775,2.3794050196965535,2.6426069767634077,2.5044015605608623,2.5667289945602416,2.5944580349922175,2.623796238231659,2.6391384338855746,2.599915412839254,2.5763257296562196,2.79070444428126,2.635955402914683,2.7077520331700646,2.6384821105162306,3.016434401067098,2.863817984549205,2.8380394341150916,2.9192565131823223,2.8365403871218366,2.931400925254822,3.0633433319727574,2.9107186630884803,2.862811235745748


,P.Airplane,P.Automobile,P.Bid,P.Cat,P.Deer,P.Dog,P.Frog,P.Horse,P.Ship,P.Truck,Total
Airplane,53.25,3.72,10.12,1.88,6.85,1.0,2.98,3.08,11.45,5.67,6000.0
Automobile,3.18,64.58,1.62,2.2,1.65,0.9,2.92,2.0,6.63,14.32,6000.0
Bid,8.6,2.43,39.72,7.17,16.25,5.92,8.5,6.25,2.5,2.67,6000.0
Cat,3.78,2.27,11.32,30.13,9.35,14.18,15.3,5.38,3.6,4.68,6000.0
Deer,7.42,1.57,15.33,5.12,45.57,3.53,6.77,8.18,4.23,2.28,6000.0
Dog,2.52,1.72,13.18,19.12,10.35,29.48,11.15,6.95,2.68,2.85,6000.0
Frog,3.25,2.63,8.72,9.23,8.0,5.0,53.9,2.78,2.82,3.67,6000.0
Horse,3.4,1.42,7.23,5.25,10.52,5.45,3.3,57.5,1.5,4.43,6000.0
Ship,10.28,6.38,2.15,2.05,3.9,1.03,2.37,1.0,64.67,6.17,6000.0
Truck,4.4,17.22,1.82,3.58,2.02,1.98,3.32,3.72,6.3,55.65,6000.0
