model_type.FFN_wide

epohs,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
Traing accuracy,0.2518574059009552,0.3130629688501358,0.3454944401979446,0.3683111101388931,0.38515740931034087,0.3994370371103287,0.41249259412288664,0.42387222647666933,0.43359074294567107,0.44364815056324003,0.4517259269952774,0.4609518498182297,0.46903333365917205,0.47668888568878176,0.48387037217617035,0.49206296503543856,0.4982296288013458,0.5059277713298798,0.5125944495201111,0.5187037050724029,0.5256425857543945,0.532275938987732,0.5380944311618805,0.5441574037075043,0.5507203698158264,0.5570018470287323,0.563016664981842,0.5688648164272309,0.5750037014484406,0.5811555564403534,0.5864222168922424,0.5931703627109528,0.5988129615783692,0.6050592660903931,0.6104740738868714,0.6172555565834046,0.6219907402992249,0.628422224521637,0.6344648122787475,0.6390685141086578,0.6458925902843475,0.6505814790725708,0.6572203695774078,0.6630518436431885,0.6678259253501893,0.674009257555008,0.680255550146103,0.6852203607559204,0.6920685172080994,0.696872228384018,0.7015796363353729,0.7073388874530793,0.7131722211837769,0.719049996137619,0.7242777705192566,0.72949258685112,0.7354296326637269,0.7402203798294067,0.7459740817546845,0.7507999956607818,0.7566037058830262,0.7612611174583435,0.767077773809433,0.7726796329021454,0.7772814810276032,0.7820074081420898,0.7867055594921112,0.7912777781486511,0.7968611121177673,0.8014259338378906,0.805561101436615,0.8104555606842041,0.815799993276596,0.8205814838409424,0.825379627943039,0.8296444475650787,0.8332833349704742,0.837840735912323,0.8421388924121856,0.846272224187851,0.8503592729568481,0.8543074071407318,0.8581870317459106,0.8629407525062561,0.8662833392620086,0.8704574108123779,0.8739055633544922,0.8771185100078582,0.8806425869464874,0.8844537079334259,0.8880296289920807,0.8914981484413147,0.8945537030696868,0.8969925999641418,0.9008555591106415,0.9035981476306916,0.9069018423557281,0.9111407458782196,0.9127629518508911,0.9162351906299591
Validation accuracy,0.2808166712522507,0.3290333330631256,0.34563333094120025,0.35770000219345094,0.36738333106040955,0.38154999613761903,0.4016833335161209,0.39573333263397215,0.4041500002145767,0.41821666359901427,0.4259833306074142,0.4223166674375534,0.4338166624307632,0.42833333313465116,0.43350000083446505,0.4347000002861023,0.4409666687250137,0.4396166652441025,0.443533331155777,0.4555000066757202,0.4545333296060562,0.44771665930747984,0.4520666658878326,0.45270000100135804,0.46463333666324613,0.4690333366394043,0.45550000071525576,0.4628666669130325,0.4691500037908554,0.4677000015974045,0.4745166689157486,0.4702499985694885,0.4688666671514511,0.47318333089351655,0.46203333139419556,0.4752833336591721,0.4609833359718323,0.4687833309173584,0.4721166670322418,0.4615666687488556,0.4706833302974701,0.47951666414737704,0.48055000603199005,0.4723999947309494,0.4765333324670792,0.4843833357095718,0.4622833341360092,0.48529999852180483,0.48636666834354403,0.48649999499320984,0.4865333378314972,0.4827166646718979,0.46319999992847444,0.48300000131130216,0.4897499978542328,0.4882999986410141,0.48451667129993437,0.49465000331401826,0.47989999651908877,0.4958833336830139,0.4875333338975906,0.4975333273410797,0.4841666638851166,0.4898666709661484,0.5000833302736283,0.4837333381175995,0.48574999570846555,0.4683333247900009,0.4931666761636734,0.50023333132267,0.5007833391427994,0.49626666903495786,0.48716666400432584,0.4956333369016647,0.4791833370923996,0.49601666033267977,0.4964166671037674,0.49269999861717223,0.5012499958276748,0.4959666669368744,0.49241667091846464,0.4808333396911621,0.49421665966510775,0.4983166724443436,0.5011999994516373,0.48794999718666077,0.5024500101804733,0.4913833439350128,0.5028166681528091,0.5022833317518234,0.5039666652679443,0.5056666702032089,0.5050333321094513,0.514233335852623,0.503999999165535,0.49459999799728394,0.4950833261013031,0.48449999690055845,0.49206667542457583,0.5074000149965286
Traing loss,2.0867813624346696,1.9491483860015868,1.8687280572432061,1.8051488682428996,1.7548011603108162,1.7139102520518836,1.6769192522225556,1.6444793963644238,1.6155767137951318,1.5876650197629576,1.562308196813089,1.5381146470175848,1.514209611447652,1.4915991895110519,1.4695567014729534,1.448576124353762,1.428694984065162,1.4079772502616599,1.3884878743524904,1.3699104856879623,1.3512701402046061,1.332431054125892,1.3150461487469849,1.2971642529028435,1.2802139249695674,1.262810879689676,1.2459790940108122,1.2289969211419423,1.2129482466627053,1.1960159918926379,1.1799046342319912,1.1629669684622024,1.1472270544617262,1.1314742482520916,1.114859325809832,1.0982083821526278,1.0826512069560863,1.0666696366380761,1.0502973767474846,1.0350856791354992,1.0194043073424588,1.0034025311999852,0.9866360023816426,0.9713652081560206,0.9568437598811256,0.9402269357857881,0.9233522431673826,0.9092137907487375,0.8922326846670222,0.8767055355248626,0.8623827389982012,0.84690411879045,0.8326259071014546,0.8155814842550843,0.801207988773452,0.7866502500737155,0.7713161284358414,0.757801051429466,0.7417818292573647,0.7277255488837207,0.7126589230166541,0.6987887274565521,0.6847323119004568,0.6689738465865454,0.6552051928582016,0.6423346517589357,0.6281503389437993,0.6156556029081345,0.6016103250953886,0.5881367186599306,0.5763309358897033,0.5639122144999329,0.5491040393939725,0.5371958278603024,0.5235460860481969,0.5112883491189392,0.5000833726657762,0.4893124109016525,0.475838216554677,0.4658092057029407,0.45389262462324576,0.4422523262725936,0.4323153431287518,0.4192449774892242,0.40961635038676086,0.39935607850728216,0.38876810230546527,0.379881334790477,0.36864164549443457,0.35869215330481524,0.3492767931730659,0.339001823730822,0.33170810590894134,0.32371125581882615,0.31330580680591086,0.30568296404061496,0.2965891350483453,0.2845667137139373,0.2799056673301591,0.27127474686348885
Validation loss,2.008513862291972,1.9155053110122684,1.8586000126202904,1.8179695823669433,1.7933359827359516,1.749107108624776,1.70516497631073,1.7140098999341329,1.6863877864837646,1.6511929900805158,1.632074770450592,1.6389257391293843,1.6095889719645182,1.617784128888448,1.6076671894709267,1.6017509273211161,1.5906539924621583,1.5887652274131774,1.5830628095149994,1.5500594243367511,1.5523499011039736,1.5847107363065085,1.556336401303609,1.5525713777224224,1.5288711420059204,1.51970663913091,1.5552321437517802,1.5389976826985676,1.5230912952740987,1.5331388003031412,1.50526900138855,1.5311712281545002,1.525804112227758,1.5174978371779122,1.580597591495514,1.5234515738487244,1.582731207593282,1.568152744261424,1.5484207681337991,1.6040165073871613,1.5712645798047382,1.5536479875087736,1.5457726181983948,1.5785279855092367,1.5724684901237487,1.5458952690760295,1.6325135539372764,1.5572791118780773,1.5523269872347514,1.5572857224384944,1.5734224336783094,1.598138729317983,1.6868363386948904,1.6130975296974186,1.6039638514200845,1.5999562353769938,1.6137213021914163,1.6141981593767802,1.6599485876719158,1.6150711880048114,1.6634931759993237,1.612694643322627,1.7100926014900206,1.6801381370544433,1.633185262012482,1.7348562948226927,1.7520941689491274,1.8348952841440833,1.702181838798523,1.7015400831858318,1.7102893276850384,1.7498328385035198,1.8061372237841287,1.7749078124364217,1.8697577454566954,1.8101244856039684,1.808539832274119,1.8283050394058225,1.8210755362828575,1.8485071313858032,1.8714080052057898,1.9919945031483965,1.9210441436767578,1.923235925197601,1.8774128937403365,2.0184744427204135,1.922115601412455,1.983505417696635,1.951876228205363,1.9751084390958151,1.9461320930480954,1.9243524151802063,1.9806705032348635,1.9252221432050067,2.029081394418081,2.1086141611417135,2.099734059556325,2.192833351580302,2.1186609103520713,2.070612416617076


,P Airplane,P Automobile,P Bird,P Cat,P Deer,P Dog,P Frog,P Horse,P Ship,P Truck,Total
Airplane,56.55,3.67,8.05,1.52,4.75,1.68,3.8,3.23,11.42,5.33,6000.0
Automobile,3.47,63.6,1.88,1.6,1.13,1.32,3.08,1.85,6.18,15.88,6000.0
Bird,8.87,2.6,41.2,6.67,10.42,8.68,10.23,6.23,2.27,2.83,6000.0
Cat,3.53,2.6,11.77,28.85,6.3,18.95,14.97,5.38,3.1,4.55,6000.0
Deer,8.4,1.95,16.13,5.03,38.03,6.63,8.68,8.87,3.75,2.52,6000.0
Dog,2.37,1.67,13.03,17.42,6.85,35.02,11.1,7.28,2.0,3.27,6000.0
Frog,2.95,2.57,8.93,8.62,6.0,5.65,56.23,3.22,2.35,3.48,6000.0
Horse,3.57,1.47,6.7,5.15,7.75,6.97,3.27,59.8,1.07,4.27,6000.0
Ship,9.67,6.38,2.42,2.0,3.5,1.42,2.73,0.92,65.0,5.97,6000.0
Truck,4.15,15.27,1.7,3.12,1.53,2.12,3.5,3.73,5.67,59.22,6000.0
